seq	term
3741	isogroup16962	
3742	isogroup1043	Intracellular trafficking, secretion, and vesicular transport
3743	isogroup7370	Signal transduction mechanisms
3744	isogroup28967	Signal transduction mechanisms
3745	isogroup1852	Posttranslational modification, protein turnover, chaperones
3746	isogroup21804	
3747	isogroup18826	Amino acid transport and metabolism
3748	isogroup21060	Carbohydrate transport and metabolism
3749	isogroup21060	Transcription
3750	isogroup13368	Defense mechanisms
3751	isogroup21276	Lipid transport and metabolism
3752	isogroup26735	Coenzyme transport and metabolism
3753	isogroup24762	Lipid transport and metabolism
3754	isogroup1417	Transcription
3755	isogroup1417	Replication, recombination and repair
3756	isogroup1417	Signal transduction mechanisms
3757	isogroup1951	Signal transduction mechanisms
3758	isogroup28815	Coenzyme transport and metabolism
3759	isogroup17256	Carbohydrate transport and metabolism
3760	isogroup9464	Posttranslational modification, protein turnover, chaperones
3761	isogroup10065	
3762	isogroup10605	Inorganic ion transport and metabolism
3763	isogroup4755	RNA processing and modification
3764	isogroup29131	Signal transduction mechanisms
3765	isogroup29131	Intracellular trafficking, secretion, and vesicular transport
3766	isogroup17071	RNA processing and modification
3767	isogroup676	Cell cycle control, cell division, chromosome partitioning
3768	isogroup676	Cytoskeleton
3769	isogroup23838	Cytoskeleton
3770	isogroup21779	Signal transduction mechanisms
3771	isogroup11808	Carbohydrate transport and metabolism
3772	isogroup24013	Energy production and conversion
3773	isogroup3306	Signal transduction mechanisms
3774	isogroup24654	Translation, ribosomal structure and biogenesis
3775	isogroup2700	
3776	isogroup16976	Intracellular trafficking, secretion, and vesicular transport
3777	isogroup21660	Transcription
3778	isogroup25788	Transcription
3779	isogroup25702	Transcription
3780	isogroup11297	
3781	isogroup11663	Signal transduction mechanisms
3782	isogroup21016	Cytoskeleton
3783	isogroup11077	Amino acid transport and metabolism
3784	isogroup21135	Posttranslational modification, protein turnover, chaperones
3785	isogroup26851	Carbohydrate transport and metabolism
3786	isogroup8026	Posttranslational modification, protein turnover, chaperones
3787	isogroup24549	Translation, ribosomal structure and biogenesis
3788	isogroup10926	Translation, ribosomal structure and biogenesis
3789	isogroup15694	Chromatin structure and dynamics
3790	isogroup24960	Carbohydrate transport and metabolism
3791	isogroup26793	Intracellular trafficking, secretion, and vesicular transport
3792	isogroup27296	Translation, ribosomal structure and biogenesis
3793	isogroup5844	Cell cycle control, cell division, chromosome partitioning
3794	isogroup5844	Replication, recombination and repair
3795	isogroup15284	Amino acid transport and metabolism
3796	isogroup16137	Carbohydrate transport and metabolism
3797	isogroup1829	Amino acid transport and metabolism
3798	isogroup1829	Inorganic ion transport and metabolism
3799	isogroup1829	Signal transduction mechanisms
3800	isogroup10373	Energy production and conversion
3801	isogroup27707	Inorganic ion transport and metabolism
3802	isogroup25361	Transcription
3803	isogroup6897	Inorganic ion transport and metabolism
3804	isogroup28495	Transcription
3805	isogroup3304	Replication, recombination and repair
3806	isogroup1461	Energy production and conversion
3807	isogroup18059	Posttranslational modification, protein turnover, chaperones
3808	isogroup27309	Secondary metabolites biosynthesis, transport and catabolism
3809	isogroup10481	Signal transduction mechanisms
3810	isogroup21711	Cytoskeleton
3811	isogroup13443	Transcription
3812	isogroup18192	
3813	isogroup16995	Inorganic ion transport and metabolism
3814	isogroup12628	
3815	isogroup17840	Transcription
3816	isogroup17840	Replication, recombination and repair
3817	isogroup21441	Defense mechanisms
3818	isogroup24384	Nucleotide transport and metabolism
3819	isogroup6459	Inorganic ion transport and metabolism
3820	isogroup458	Posttranslational modification, protein turnover, chaperones
3821	isogroup16783	Replication, recombination and repair
3822	isogroup4361	Posttranslational modification, protein turnover, chaperones
3823	isogroup21026	Posttranslational modification, protein turnover, chaperones
3824	isogroup25739	Signal transduction mechanisms
3825	isogroup19581	Cell cycle control, cell division, chromosome partitioning
3826	isogroup23102	Intracellular trafficking, secretion, and vesicular transport
3827	isogroup18756	Transcription
3828	isogroup17552	Posttranslational modification, protein turnover, chaperones
3829	isogroup11824	Intracellular trafficking, secretion, and vesicular transport
3830	isogroup4340	
3831	isogroup11345	Signal transduction mechanisms
3832	isogroup14102	Signal transduction mechanisms
3833	isogroup14102	Intracellular trafficking, secretion, and vesicular transport
3834	isogroup3936	Cytoskeleton
3835	isogroup18464	Energy production and conversion
3836	isogroup20834	Carbohydrate transport and metabolism
3837	isogroup1546	Amino acid transport and metabolism
3838	isogroup17586	Cytoskeleton
3839	isogroup9208	RNA processing and modification
3840	isogroup17533	
3841	isogroup15949	Chromatin structure and dynamics
3842	isogroup15949	Transcription
3843	isogroup24323	Cell cycle control, cell division, chromosome partitioning
3844	isogroup20503	Posttranslational modification, protein turnover, chaperones
3845	isogroup6003	Posttranslational modification, protein turnover, chaperones
3846	isogroup495	RNA processing and modification
3847	isogroup9176	Intracellular trafficking, secretion, and vesicular transport
3848	isogroup19620	
3849	isogroup2460	Intracellular trafficking, secretion, and vesicular transport
3850	isogroup4293	Posttranslational modification, protein turnover, chaperones
3851	isogroup28142	
3852	isogroup21461	Lipid transport and metabolism
3853	isogroup10526	Cell cycle control, cell division, chromosome partitioning
3854	isogroup10526	Posttranslational modification, protein turnover, chaperones
3855	isogroup13253	Cell wall/membrane/envelope biogenesis
3856	isogroup3421	Signal transduction mechanisms
3857	isogroup22250	Signal transduction mechanisms
3858	isogroup1068	Carbohydrate transport and metabolism
3859	isogroup2088	
3860	isogroup12655	Lipid transport and metabolism
3861	isogroup9617	Posttranslational modification, protein turnover, chaperones
3862	isogroup16116	Lipid transport and metabolism
3863	isogroup2134	Signal transduction mechanisms
3864	isogroup15912	Inorganic ion transport and metabolism
3865	isogroup13104	Signal transduction mechanisms
3866	isogroup2045	Signal transduction mechanisms
3867	isogroup25202	Translation, ribosomal structure and biogenesis
3868	isogroup19124	
3869	isogroup25476	Intracellular trafficking, secretion, and vesicular transport
3870	isogroup16006	Transcription
3871	isogroup25909	Energy production and conversion
3872	isogroup7098	Signal transduction mechanisms
3873	isogroup26733	Transcription
3874	isogroup23397	Transcription
3875	isogroup7419	Carbohydrate transport and metabolism
3876	isogroup13489	Replication, recombination and repair
3877	isogroup8201	Coenzyme transport and metabolism
3878	isogroup19583	
3879	isogroup23157	Posttranslational modification, protein turnover, chaperones
3880	isogroup10586	Posttranslational modification, protein turnover, chaperones
3881	isogroup24991	
3882	isogroup8008	Intracellular trafficking, secretion, and vesicular transport
3883	isogroup3200	Posttranslational modification, protein turnover, chaperones
3884	isogroup5443	Signal transduction mechanisms
3885	isogroup5536	Transcription
3886	isogroup24191	Signal transduction mechanisms
3887	isogroup22880	Posttranslational modification, protein turnover, chaperones
3888	isogroup2710	Cell cycle control, cell division, chromosome partitioning
3889	isogroup2710	Cytoskeleton
3890	isogroup1084	Intracellular trafficking, secretion, and vesicular transport
3891	isogroup11691	Inorganic ion transport and metabolism
3892	isogroup11831	Intracellular trafficking, secretion, and vesicular transport
3893	isogroup23362	Transcription
3894	isogroup29213	Cytoskeleton
3895	isogroup2937	Cell cycle control, cell division, chromosome partitioning
3896	isogroup2482	Carbohydrate transport and metabolism
3897	isogroup22214	Signal transduction mechanisms
3898	isogroup14520	Signal transduction mechanisms
3899	isogroup4046	Energy production and conversion
3900	isogroup8128	
3901	isogroup27709	Signal transduction mechanisms
3902	isogroup11404	Signal transduction mechanisms
3903	isogroup2910	Posttranslational modification, protein turnover, chaperones
3904	isogroup19452	
3905	isogroup26525	
3906	isogroup12764	Signal transduction mechanisms
3907	isogroup10866	
3908	isogroup27195	Signal transduction mechanisms
3909	isogroup25617	Signal transduction mechanisms
3910	isogroup7194	Lipid transport and metabolism
3911	isogroup7929	Posttranslational modification, protein turnover, chaperones
3912	isogroup10368	Signal transduction mechanisms
3913	isogroup4447	Signal transduction mechanisms
3914	isogroup22078	Amino acid transport and metabolism
3915	isogroup16799	
3916	isogroup28499	Signal transduction mechanisms
3917	isogroup15369	
3918	isogroup17221	Carbohydrate transport and metabolism
3919	isogroup3100	Carbohydrate transport and metabolism
3920	isogroup7750	
3921	isogroup3787	Posttranslational modification, protein turnover, chaperones
3922	isogroup1627	Posttranslational modification, protein turnover, chaperones
3923	isogroup1627	Signal transduction mechanisms
3924	isogroup11806	Posttranslational modification, protein turnover, chaperones
3925	isogroup21752	Intracellular trafficking, secretion, and vesicular transport
3926	isogroup6145	Posttranslational modification, protein turnover, chaperones
3927	isogroup700	Signal transduction mechanisms
3928	isogroup25336	Inorganic ion transport and metabolism
3929	isogroup26676	Intracellular trafficking, secretion, and vesicular transport
3930	isogroup11397	Signal transduction mechanisms
3931	isogroup3369	Chromatin structure and dynamics
3932	isogroup3369	Cell cycle control, cell division, chromosome partitioning
3933	isogroup21328	Energy production and conversion
3934	isogroup19867	Posttranslational modification, protein turnover, chaperones
3935	isogroup15077	Intracellular trafficking, secretion, and vesicular transport
3936	isogroup27334	Intracellular trafficking, secretion, and vesicular transport
3937	isogroup27846	Transcription
3938	isogroup16148	Inorganic ion transport and metabolism
3939	isogroup11061	
3940	isogroup14795	Transcription
3941	isogroup11976	Transcription
3942	isogroup25404	Translation, ribosomal structure and biogenesis
3943	isogroup25183	Signal transduction mechanisms
3944	isogroup27568	Signal transduction mechanisms
3945	isogroup5349	Posttranslational modification, protein turnover, chaperones
3946	isogroup23936	Secondary metabolites biosynthesis, transport and catabolism
3947	isogroup8485	Inorganic ion transport and metabolism
3948	isogroup24647	Intracellular trafficking, secretion, and vesicular transport
3949	isogroup708	Signal transduction mechanisms
3950	isogroup24570	
3951	isogroup11146	Replication, recombination and repair
3952	isogroup13430	RNA processing and modification
3953	isogroup1656	
3954	isogroup24752	Intracellular trafficking, secretion, and vesicular transport
3955	isogroup23947	Energy production and conversion
3956	isogroup15728	Translation, ribosomal structure and biogenesis
3957	isogroup20763	
3958	isogroup5165	Intracellular trafficking, secretion, and vesicular transport
3959	isogroup23828	Translation, ribosomal structure and biogenesis
3960	isogroup28468	RNA processing and modification
3961	isogroup21240	Amino acid transport and metabolism
3962	isogroup27984	
3963	isogroup6181	Posttranslational modification, protein turnover, chaperones
3964	isogroup19592	Cell cycle control, cell division, chromosome partitioning
3965	isogroup27129	Translation, ribosomal structure and biogenesis
3966	isogroup11573	Signal transduction mechanisms
3967	isogroup8267	Signal transduction mechanisms
3968	isogroup1901	Posttranslational modification, protein turnover, chaperones
3969	isogroup6966	Inorganic ion transport and metabolism
3970	isogroup10578	Intracellular trafficking, secretion, and vesicular transport
3971	isogroup22041	Cell wall/membrane/envelope biogenesis
3972	isogroup28838	Inorganic ion transport and metabolism
3973	isogroup28838	Signal transduction mechanisms
3974	isogroup16207	Replication, recombination and repair
3975	isogroup22674	Inorganic ion transport and metabolism
3976	isogroup28892	Amino acid transport and metabolism
3977	isogroup23507	Translation, ribosomal structure and biogenesis
3978	isogroup20424	Nucleotide transport and metabolism
3979	isogroup9007	
3980	isogroup5392	Replication, recombination and repair
3981	isogroup22185	Signal transduction mechanisms
3982	isogroup4491	Cytoskeleton
3983	isogroup14965	Replication, recombination and repair
3984	isogroup12447	Cytoskeleton
3985	isogroup15376	Defense mechanisms
3986	isogroup12935	Posttranslational modification, protein turnover, chaperones
3987	isogroup4343	Chromatin structure and dynamics
3988	isogroup14685	Replication, recombination and repair
3989	isogroup14417	Carbohydrate transport and metabolism
3990	isogroup7978	Signal transduction mechanisms
3991	isogroup13378	Transcription
3992	isogroup14958	Signal transduction mechanisms
3993	isogroup3372	Posttranslational modification, protein turnover, chaperones
3994	isogroup26531	
3995	isogroup8724	
3996	isogroup10662	Carbohydrate transport and metabolism
3997	isogroup8848	Transcription
3998	isogroup27699	Intracellular trafficking, secretion, and vesicular transport
3999	isogroup16509	Secondary metabolites biosynthesis, transport and catabolism
4000	isogroup12932	RNA processing and modification
4001	isogroup5809	Signal transduction mechanisms
4002	isogroup14080	Energy production and conversion
4003	isogroup17685	Signal transduction mechanisms
4004	isogroup27891	Signal transduction mechanisms
4005	isogroup8857	Signal transduction mechanisms
4006	isogroup9941	Secondary metabolites biosynthesis, transport and catabolism
4007	isogroup27124	Signal transduction mechanisms
4008	isogroup7759	Inorganic ion transport and metabolism
4009	isogroup26711	Posttranslational modification, protein turnover, chaperones
4010	isogroup17502	Transcription
4011	isogroup18388	Secondary metabolites biosynthesis, transport and catabolism
4012	isogroup20790	Signal transduction mechanisms
4013	isogroup4987	Signal transduction mechanisms
4014	isogroup3428	Signal transduction mechanisms
4015	isogroup7426	
4016	isogroup12841	
4017	isogroup22634	Signal transduction mechanisms
4018	isogroup8451	Posttranslational modification, protein turnover, chaperones
4019	isogroup6490	Lipid transport and metabolism
4020	isogroup6490	Signal transduction mechanisms
4021	isogroup27572	
4022	isogroup13139	Posttranslational modification, protein turnover, chaperones
4023	isogroup23002	
4024	isogroup3592	Signal transduction mechanisms
4025	isogroup13640	Transcription
4026	isogroup1681	Cell cycle control, cell division, chromosome partitioning
4027	isogroup1681	Posttranslational modification, protein turnover, chaperones
4028	isogroup28794	Replication, recombination and repair
4029	isogroup26031	Chromatin structure and dynamics
4030	isogroup26031	Signal transduction mechanisms
4031	isogroup19826	Defense mechanisms
4032	isogroup27964	Cell cycle control, cell division, chromosome partitioning
4033	isogroup27097	Amino acid transport and metabolism
4034	isogroup27097	Signal transduction mechanisms
4035	isogroup13191	Inorganic ion transport and metabolism
4036	isogroup23206	Energy production and conversion
4037	isogroup10172	Intracellular trafficking, secretion, and vesicular transport
4038	isogroup8910	Energy production and conversion
4039	isogroup5848	Cell wall/membrane/envelope biogenesis
4040	isogroup5848	Intracellular trafficking, secretion, and vesicular transport
4041	isogroup2295	Cytoskeleton
4042	isogroup24255	Inorganic ion transport and metabolism
4043	isogroup23080	
4044	isogroup18411	Posttranslational modification, protein turnover, chaperones
4045	isogroup16210	Chromatin structure and dynamics
4046	isogroup2533	Secondary metabolites biosynthesis, transport and catabolism
4047	isogroup12411	
4048	isogroup27399	Inorganic ion transport and metabolism
4049	isogroup19441	
4050	isogroup4434	Cytoskeleton
4051	isogroup28193	Signal transduction mechanisms
4052	isogroup6038	
4053	isogroup1908	Signal transduction mechanisms
4054	isogroup15327	Cell wall/membrane/envelope biogenesis
4055	isogroup4291	Signal transduction mechanisms
4056	isogroup19367	Replication, recombination and repair
4057	isogroup8082	
4058	isogroup17092	Transcription
4059	isogroup19676	Signal transduction mechanisms
4060	isogroup11518	Posttranslational modification, protein turnover, chaperones
4061	isogroup11168	Cell cycle control, cell division, chromosome partitioning
4062	isogroup11168	Posttranslational modification, protein turnover, chaperones
4063	isogroup25742	Signal transduction mechanisms
4064	isogroup16857	Energy production and conversion
4065	isogroup6242	Chromatin structure and dynamics
4066	isogroup6242	Signal transduction mechanisms
4067	isogroup7830	Signal transduction mechanisms
4068	isogroup9731	Posttranslational modification, protein turnover, chaperones
4069	isogroup19681	Signal transduction mechanisms
4070	isogroup16912	Lipid transport and metabolism
4071	isogroup2665	Carbohydrate transport and metabolism
4072	isogroup4609	Cell cycle control, cell division, chromosome partitioning
4073	isogroup14995	RNA processing and modification
4074	isogroup7272	Lipid transport and metabolism
4075	isogroup26578	Carbohydrate transport and metabolism
4076	isogroup23194	Signal transduction mechanisms
4077	isogroup14903	Signal transduction mechanisms
4078	isogroup23651	Lipid transport and metabolism
4079	isogroup13386	Signal transduction mechanisms
4080	isogroup20975	Signal transduction mechanisms
4081	isogroup1269	Amino acid transport and metabolism
4082	isogroup25847	Intracellular trafficking, secretion, and vesicular transport
4083	isogroup19900	Posttranslational modification, protein turnover, chaperones
4084	isogroup1671	Amino acid transport and metabolism
4085	isogroup8476	Lipid transport and metabolism
4086	isogroup8476	Secondary metabolites biosynthesis, transport and catabolism
4087	isogroup22646	Cell cycle control, cell division, chromosome partitioning
4088	isogroup22646	Cytoskeleton
4089	isogroup12736	Posttranslational modification, protein turnover, chaperones
4090	isogroup13667	Signal transduction mechanisms
4091	isogroup16739	Signal transduction mechanisms
4092	isogroup9374	Transcription
4093	isogroup20441	Signal transduction mechanisms
4094	isogroup11173	Transcription
4095	isogroup20636	Coenzyme transport and metabolism
4096	isogroup15253	Amino acid transport and metabolism
4097	isogroup26499	
4098	isogroup22137	Secondary metabolites biosynthesis, transport and catabolism
4099	isogroup3533	Amino acid transport and metabolism
4100	isogroup4856	Intracellular trafficking, secretion, and vesicular transport
4101	isogroup23527	Signal transduction mechanisms
4102	isogroup16854	RNA processing and modification
4103	isogroup11489	Signal transduction mechanisms
4104	isogroup20039	
4105	isogroup16140	RNA processing and modification
4106	isogroup11719	Signal transduction mechanisms
4107	isogroup10729	Signal transduction mechanisms
4108	isogroup25572	Signal transduction mechanisms
4109	isogroup1898	Signal transduction mechanisms
4110	isogroup4668	Chromatin structure and dynamics
4111	isogroup25782	Lipid transport and metabolism
4112	isogroup25782	Secondary metabolites biosynthesis, transport and catabolism
4113	isogroup19318	Posttranslational modification, protein turnover, chaperones
4114	isogroup8258	Signal transduction mechanisms
4115	isogroup17478	Amino acid transport and metabolism
4116	isogroup467	Posttranslational modification, protein turnover, chaperones
4117	isogroup26108	Posttranslational modification, protein turnover, chaperones
4118	isogroup8001	Translation, ribosomal structure and biogenesis
4119	isogroup25267	Transcription
4120	isogroup17282	Replication, recombination and repair
4121	isogroup18446	Signal transduction mechanisms
4122	isogroup2919	Signal transduction mechanisms
4123	isogroup19856	Signal transduction mechanisms
4124	isogroup6851	Signal transduction mechanisms
4125	isogroup17209	Amino acid transport and metabolism
4126	isogroup13367	Intracellular trafficking, secretion, and vesicular transport
4127	isogroup2514	RNA processing and modification
4128	isogroup27599	Posttranslational modification, protein turnover, chaperones
4129	isogroup16917	Replication, recombination and repair
4130	isogroup25677	Signal transduction mechanisms
4131	isogroup6322	Inorganic ion transport and metabolism
4132	isogroup2911	Lipid transport and metabolism
4133	isogroup2911	Secondary metabolites biosynthesis, transport and catabolism
4134	isogroup22651	Signal transduction mechanisms
4135	isogroup15543	
4136	isogroup6506	Lipid transport and metabolism
4137	isogroup1418	Cell cycle control, cell division, chromosome partitioning
4138	isogroup8446	
4139	isogroup23376	Cytoskeleton
4140	isogroup13567	Transcription
4141	isogroup711	Carbohydrate transport and metabolism
4142	isogroup1791	Amino acid transport and metabolism
4143	isogroup1791	Nucleotide transport and metabolism
4144	isogroup12526	Lipid transport and metabolism
4145	isogroup5412	Carbohydrate transport and metabolism
4146	isogroup5412	Cell wall/membrane/envelope biogenesis
4147	isogroup8936	
4148	isogroup25036	
4149	isogroup24951	
4150	isogroup9486	Inorganic ion transport and metabolism
4151	isogroup2279	Cytoskeleton
4152	isogroup20596	Cell cycle control, cell division, chromosome partitioning
4153	isogroup18904	Carbohydrate transport and metabolism
4154	isogroup27669	
4155	isogroup27284	Lipid transport and metabolism
4156	isogroup27284	Cell wall/membrane/envelope biogenesis
4157	isogroup16163	Posttranslational modification, protein turnover, chaperones
4158	isogroup2076	Lipid transport and metabolism
4159	isogroup3947	Posttranslational modification, protein turnover, chaperones
4160	isogroup4757	Signal transduction mechanisms
4161	isogroup6858	Signal transduction mechanisms
4162	isogroup3704	Signal transduction mechanisms
4163	isogroup18267	Carbohydrate transport and metabolism
4164	isogroup25902	RNA processing and modification
4165	isogroup27918	Energy production and conversion
4166	isogroup27918	Carbohydrate transport and metabolism
4167	isogroup6374	Carbohydrate transport and metabolism
4168	isogroup23974	Translation, ribosomal structure and biogenesis
4169	isogroup2860	Cell cycle control, cell division, chromosome partitioning
4170	isogroup18925	Cell cycle control, cell division, chromosome partitioning
4171	isogroup18925	Intracellular trafficking, secretion, and vesicular transport
4172	isogroup18925	Cytoskeleton
4173	isogroup28297	Carbohydrate transport and metabolism
4174	isogroup6741	
4175	isogroup5419	Signal transduction mechanisms
4176	isogroup5442	Signal transduction mechanisms
4177	isogroup4490	Cytoskeleton
4178	isogroup2351	Posttranslational modification, protein turnover, chaperones
4179	isogroup25441	Transcription
4180	isogroup2125	Secondary metabolites biosynthesis, transport and catabolism
4181	isogroup14778	Signal transduction mechanisms
4182	isogroup28804	Intracellular trafficking, secretion, and vesicular transport
4183	isogroup28733	
4184	isogroup25750	Lipid transport and metabolism
4185	isogroup2857	Cell wall/membrane/envelope biogenesis
4186	isogroup3048	Posttranslational modification, protein turnover, chaperones
4187	isogroup24129	RNA processing and modification
4188	isogroup24129	Chromatin structure and dynamics
4189	isogroup24129	Posttranslational modification, protein turnover, chaperones
4190	isogroup16919	
4191	isogroup23973	Inorganic ion transport and metabolism
4192	isogroup23973	Signal transduction mechanisms
4193	isogroup12919	Amino acid transport and metabolism
4194	isogroup28558	Transcription
4195	isogroup11720	Signal transduction mechanisms
4196	isogroup22707	Secondary metabolites biosynthesis, transport and catabolism
4197	isogroup12172	
4198	isogroup15679	Signal transduction mechanisms
4199	isogroup6577	Chromatin structure and dynamics
4200	isogroup6577	Cell cycle control, cell division, chromosome partitioning
4201	isogroup15786	Replication, recombination and repair
4202	isogroup27679	Intracellular trafficking, secretion, and vesicular transport
4203	isogroup26290	
4204	isogroup209	Signal transduction mechanisms
4205	isogroup209	Intracellular trafficking, secretion, and vesicular transport
4206	isogroup17849	RNA processing and modification
4207	isogroup5916	Inorganic ion transport and metabolism
4208	isogroup26686	Transcription
4209	isogroup26686	Replication, recombination and repair
4210	isogroup19712	RNA processing and modification
4211	isogroup14300	
4212	isogroup6658	Replication, recombination and repair
4213	isogroup22837	Carbohydrate transport and metabolism
4214	isogroup15206	
4215	isogroup10464	Signal transduction mechanisms
4216	isogroup18418	
4217	isogroup1873	Intracellular trafficking, secretion, and vesicular transport
4218	isogroup4157	Posttranslational modification, protein turnover, chaperones
4219	isogroup4157	Signal transduction mechanisms
4220	isogroup8062	Inorganic ion transport and metabolism
4221	isogroup9332	Posttranslational modification, protein turnover, chaperones
4222	isogroup1212	Transcription
4223	isogroup1212	Replication, recombination and repair
4224	isogroup2787	
4225	isogroup6404	Cytoskeleton
4226	isogroup505	Signal transduction mechanisms
4227	isogroup21105	Amino acid transport and metabolism
4228	isogroup8429	Nucleotide transport and metabolism
4229	isogroup7708	Posttranslational modification, protein turnover, chaperones
4230	isogroup9021	Cell cycle control, cell division, chromosome partitioning
4231	isogroup9021	Replication, recombination and repair
4232	isogroup27887	
4233	isogroup20448	Nuclear structure
4234	isogroup7088	Intracellular trafficking, secretion, and vesicular transport
4235	isogroup4798	Replication, recombination and repair
4236	isogroup23868	Signal transduction mechanisms
4237	isogroup19801	Nucleotide transport and metabolism
4238	isogroup22814	Inorganic ion transport and metabolism
4239	isogroup12786	RNA processing and modification
4240	isogroup17496	Signal transduction mechanisms
4241	isogroup26481	Signal transduction mechanisms
4242	isogroup26481	Chromatin structure and dynamics
4243	isogroup26481	Cell cycle control, cell division, chromosome partitioning
4244	isogroup26481	Replication, recombination and repair
4245	isogroup9725	RNA processing and modification
4246	isogroup3389	Intracellular trafficking, secretion, and vesicular transport
4247	isogroup4063	Signal transduction mechanisms
4248	isogroup16494	Posttranslational modification, protein turnover, chaperones
4249	isogroup26546	Replication, recombination and repair
4250	isogroup12747	Energy production and conversion
4251	isogroup1998	Translation, ribosomal structure and biogenesis
4252	isogroup15957	Energy production and conversion
4253	isogroup1367	Translation, ribosomal structure and biogenesis
4254	isogroup28958	Signal transduction mechanisms
4255	isogroup29129	Cell wall/membrane/envelope biogenesis
4256	isogroup29129	Extracellular structures
4257	isogroup18927	Cell cycle control, cell division, chromosome partitioning
4258	isogroup18927	Intracellular trafficking, secretion, and vesicular transport
4259	isogroup18927	Cytoskeleton
4260	isogroup15928	Secondary metabolites biosynthesis, transport and catabolism
4261	isogroup28501	Cell cycle control, cell division, chromosome partitioning
4262	isogroup28406	RNA processing and modification
4263	isogroup12183	Replication, recombination and repair
4264	isogroup24123	Transcription
4265	isogroup27452	
4266	isogroup14020	Defense mechanisms
4267	isogroup27965	Cell cycle control, cell division, chromosome partitioning
4268	isogroup27965	Signal transduction mechanisms
4269	isogroup22687	Nuclear structure
4270	isogroup17306	Cell cycle control, cell division, chromosome partitioning
4271	isogroup4776	Signal transduction mechanisms
4272	isogroup6206	Signal transduction mechanisms
4273	isogroup23711	Transcription
4274	isogroup23711	Replication, recombination and repair
4275	isogroup559	Amino acid transport and metabolism
4276	isogroup5655	Intracellular trafficking, secretion, and vesicular transport
4277	isogroup22236	Chromatin structure and dynamics
4278	isogroup6236	Amino acid transport and metabolism
4279	isogroup15722	Signal transduction mechanisms
4280	isogroup21233	Transcription
4281	isogroup7791	Carbohydrate transport and metabolism
4282	isogroup26839	Signal transduction mechanisms
4283	isogroup23285	Inorganic ion transport and metabolism
4284	isogroup23285	Signal transduction mechanisms
4285	isogroup5818	Cytoskeleton
4286	isogroup19614	Carbohydrate transport and metabolism
4287	isogroup2523	Signal transduction mechanisms
4288	isogroup4618	Cytoskeleton
4289	isogroup1257	Carbohydrate transport and metabolism
4290	isogroup24168	Cell cycle control, cell division, chromosome partitioning
4291	isogroup24168	Signal transduction mechanisms
4292	isogroup22333	Carbohydrate transport and metabolism
4293	isogroup19280	
4294	isogroup4717	Signal transduction mechanisms
4295	isogroup4093	Signal transduction mechanisms
4296	isogroup19166	
4297	isogroup18027	
4298	isogroup21807	Coenzyme transport and metabolism
4299	isogroup28351	Intracellular trafficking, secretion, and vesicular transport
4300	isogroup4160	
4301	isogroup21395	Intracellular trafficking, secretion, and vesicular transport
4302	isogroup21395	Nuclear structure
4303	isogroup3336	
4304	isogroup26170	Signal transduction mechanisms
4305	isogroup17289	Carbohydrate transport and metabolism
4306	isogroup14170	Replication, recombination and repair
4307	isogroup28754	Replication, recombination and repair
4308	isogroup25636	Energy production and conversion
4309	isogroup8807	Intracellular trafficking, secretion, and vesicular transport
4310	isogroup22398	Lipid transport and metabolism
4311	isogroup22398	Secondary metabolites biosynthesis, transport and catabolism
4312	isogroup14064	
4313	isogroup13014	Chromatin structure and dynamics
4314	isogroup10775	Carbohydrate transport and metabolism
4315	isogroup20646	
4316	isogroup23701	Amino acid transport and metabolism
4317	isogroup16556	Replication, recombination and repair
4318	isogroup10150	Secondary metabolites biosynthesis, transport and catabolism
4319	isogroup28728	Signal transduction mechanisms
4320	isogroup24560	
4321	isogroup27163	
4322	isogroup5672	Energy production and conversion
4323	isogroup21431	Replication, recombination and repair
4324	isogroup28708	Inorganic ion transport and metabolism
4325	isogroup28708	Signal transduction mechanisms
4326	isogroup716	Amino acid transport and metabolism
4327	isogroup26008	Signal transduction mechanisms
4328	isogroup28827	Energy production and conversion
4329	isogroup19097	Cytoskeleton
4330	isogroup4169	Amino acid transport and metabolism
4331	isogroup453	Inorganic ion transport and metabolism
4332	isogroup1460	Posttranslational modification, protein turnover, chaperones
4333	isogroup12664	
4334	isogroup28194	Signal transduction mechanisms
4335	isogroup595	Signal transduction mechanisms
4336	isogroup24621	Carbohydrate transport and metabolism
4337	isogroup24621	Posttranslational modification, protein turnover, chaperones
4338	isogroup24621	Intracellular trafficking, secretion, and vesicular transport
4339	isogroup13928	Coenzyme transport and metabolism
4340	isogroup11308	Energy production and conversion
4341	isogroup9279	
4342	isogroup13568	Secondary metabolites biosynthesis, transport and catabolism
4343	isogroup21641	Signal transduction mechanisms
4344	isogroup9550	Posttranslational modification, protein turnover, chaperones
4345	isogroup4015	Inorganic ion transport and metabolism
4346	isogroup8881	Defense mechanisms
4347	isogroup6970	Cell cycle control, cell division, chromosome partitioning
4348	isogroup10530	Energy production and conversion
4349	isogroup26888	RNA processing and modification
4350	isogroup8566	Cell cycle control, cell division, chromosome partitioning
4351	isogroup8566	Posttranslational modification, protein turnover, chaperones
4352	isogroup22302	Signal transduction mechanisms
4353	isogroup21566	Intracellular trafficking, secretion, and vesicular transport
4354	isogroup21566	Nuclear structure
4355	isogroup20089	
4356	isogroup16576	Posttranslational modification, protein turnover, chaperones
4357	isogroup23801	Posttranslational modification, protein turnover, chaperones
