seq	term
Oarb_120583_c0_g1	"Signal transduction mechanisms"
Oarb_120583_c0_g3	"Defense mechanisms"
Oarb_120613_c1_g1	"Lipid transport and metabolism"
Oarb_120617_c2_g2	"Cytoskeleton"
Oarb_120635_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_120666_c0_g2	""
Oarb_120677_c1_g1	"Signal transduction mechanisms"
Oarb_120684_c6_g1	"Replication, recombination and repair"
Oarb_120706_c7_g2	"Signal transduction mechanisms"
Oarb_120724_c4_g1	"Signal transduction mechanisms"
Oarb_120748_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_120801_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_120825_c2_g2	""
Oarb_120858_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_120899_c0_g1	"Amino acid transport and metabolism"
Oarb_120907_c0_g1	""
Oarb_120920_c0_g4	"Amino acid transport and metabolism"
Oarb_120922_c4_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_120969_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_121036_c1_g1	"Signal transduction mechanisms"
Oarb_121044_c1_g2	"Signal transduction mechanisms"
Oarb_121099_c5_g2	"Amino acid transport and metabolism"
Oarb_121107_c4_g1	"Carbohydrate transport and metabolism"
Oarb_121114_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_121143_c1_g2	""
Oarb_121153_c0_g1	"Amino acid transport and metabolism"
Oarb_121164_c4_g1	""
Oarb_121164_c4_g5	""
Oarb_121183_c1_g1	"Replication, recombination and repair"
Oarb_121202_c4_g1	"Energy production and conversion"
Oarb_121270_c5_g1	"Amino acid transport and metabolism"
Oarb_121273_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_121312_c1_g8	"Energy production and conversion"
Oarb_121316_c0_g1	"Amino acid transport and metabolism"
Oarb_121317_c2_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_121329_c6_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_121360_c0_g2	""
Oarb_121368_c4_g2	"Translation, ribosomal structure and biogenesis"
Oarb_121411_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_121414_c3_g1	"Transcription"
Oarb_121421_c3_g1	"Energy production and conversion"
Oarb_121421_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_121439_c0_g1	"Lipid transport and metabolism"
Oarb_121469_c1_g3	"Signal transduction mechanisms"
Oarb_121502_c1_g1	""
Oarb_121508_c0_g1	"Lipid transport and metabolism"
Oarb_121520_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_121520_c3_g2	"Amino acid transport and metabolism"
Oarb_121527_c3_g2	""
Oarb_121591_c4_g2	"Signal transduction mechanisms"
Oarb_121599_c1_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_121656_c4_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_121669_c0_g1	"Cytoskeleton"
Oarb_121717_c5_g1	"RNA processing and modification"
Oarb_121721_c4_g1	"Signal transduction mechanisms"
Oarb_121735_c3_g4	"Nucleotide transport and metabolism"
Oarb_121758_c4_g1	"Signal transduction mechanisms"
Oarb_121775_c3_g1	""
Oarb_121825_c0_g1	"Signal transduction mechanisms"
Oarb_121834_c5_g1	"Carbohydrate transport and metabolism"
Oarb_121834_c5_g1	"Signal transduction mechanisms"
Oarb_121850_c3_g3	"RNA processing and modification"
Oarb_121863_c1_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_121863_c2_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_121872_c0_g1	"Lipid transport and metabolism"
Oarb_121914_c0_g1	""
Oarb_121916_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_121924_c0_g1	"Carbohydrate transport and metabolism"
Oarb_121978_c2_g3	"Transcription"
Oarb_121990_c3_g1	"Inorganic ion transport and metabolism"
Oarb_1219_c0_g1	"Carbohydrate transport and metabolism"
Oarb_122023_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_122036_c2_g1	"Transcription"
Oarb_122111_c1_g1	"Signal transduction mechanisms"
Oarb_122124_c3_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_122135_c1_g1	"Chromatin structure and dynamics"
Oarb_122183_c1_g1	""
Oarb_122214_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_122296_c3_g1	"Amino acid transport and metabolism"
Oarb_122297_c5_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_122304_c1_g5	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_122322_c0_g1	"Replication, recombination and repair"
Oarb_122322_c0_g2	"Replication, recombination and repair"
Oarb_122333_c2_g2	"Signal transduction mechanisms"
Oarb_122351_c2_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_122369_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_122378_c3_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_122382_c4_g1	"Replication, recombination and repair"
Oarb_122417_c3_g1	"Cytoskeleton"
Oarb_122468_c6_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_122523_c1_g1	"Carbohydrate transport and metabolism"
Oarb_122535_c0_g1	"Amino acid transport and metabolism"
Oarb_122604_c0_g3	"Inorganic ion transport and metabolism"
Oarb_122613_c1_g1	"Carbohydrate transport and metabolism"
Oarb_122615_c0_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_122626_c0_g8	""
Oarb_122629_c1_g2	"Signal transduction mechanisms"
Oarb_122666_c3_g2	"Signal transduction mechanisms"
Oarb_122668_c2_g1	"Signal transduction mechanisms"
Oarb_122668_c2_g2	"Signal transduction mechanisms"
Oarb_122735_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_122739_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_122747_c0_g1	"Transcription"
Oarb_122753_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_122866_c0_g1	""
Oarb_122879_c7_g2	"Signal transduction mechanisms"
Oarb_122888_c2_g1	"Chromatin structure and dynamics"
Oarb_123071_c4_g1	""
Oarb_123071_c4_g1	"Energy production and conversion"
Oarb_123095_c1_g1	"Lipid transport and metabolism"
Oarb_123116_c4_g1	"Signal transduction mechanisms"
Oarb_123159_c0_g2	"Transcription"
Oarb_123215_c6_g1	"Replication, recombination and repair"
Oarb_123216_c2_g1	"Amino acid transport and metabolism"
Oarb_123225_c5_g1	"Energy production and conversion"
Oarb_123232_c2_g1	"Transcription"
Oarb_123234_c0_g1	"Amino acid transport and metabolism"
Oarb_123238_c2_g3	"Signal transduction mechanisms"
Oarb_123243_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_123261_c1_g5	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_123287_c3_g3	"Amino acid transport and metabolism"
Oarb_123287_c3_g5	"Lipid transport and metabolism"
Oarb_123322_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_123364_c1_g3	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_123367_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_123419_c1_g1	"Signal transduction mechanisms"
Oarb_123442_c2_g1	"Inorganic ion transport and metabolism"
Oarb_123458_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_123488_c3_g1	"Signal transduction mechanisms"
Oarb_123495_c8_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_123518_c3_g1	"Transcription"
Oarb_123588_c2_g1	"Chromatin structure and dynamics"
Oarb_123643_c1_g1	"Signal transduction mechanisms"
Oarb_123721_c0_g1	"Carbohydrate transport and metabolism"
Oarb_123744_c2_g1	"Signal transduction mechanisms"
Oarb_123775_c2_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_123777_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_123783_c1_g1	"Signal transduction mechanisms"
Oarb_123878_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_123890_c0_g1	"Transcription"
Oarb_123917_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_123967_c0_g1	"Lipid transport and metabolism"
Oarb_123977_c2_g1	"Replication, recombination and repair"
Oarb_124002_c1_g1	"Transcription"
Oarb_124009_c4_g1	"Chromatin structure and dynamics"
Oarb_124021_c1_g1	"Carbohydrate transport and metabolism"
Oarb_124028_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_124039_c5_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_124057_c0_g1	"Transcription"
Oarb_124075_c0_g1	"RNA processing and modification"
Oarb_124091_c1_g1	"Signal transduction mechanisms"
Oarb_124108_c1_g2	"Amino acid transport and metabolism"
Oarb_124128_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_124151_c1_g1	"Signal transduction mechanisms"
Oarb_124168_c2_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_124183_c6_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_124199_c4_g2	"Translation, ribosomal structure and biogenesis"
Oarb_124276_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_124296_c0_g1	"Lipid transport and metabolism"
Oarb_124318_c4_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_124394_c0_g1	"Signal transduction mechanisms"
Oarb_124437_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_124471_c5_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_124487_c0_g2	"Defense mechanisms"
Oarb_124493_c3_g1	"Signal transduction mechanisms"
Oarb_124518_c1_g2	"Amino acid transport and metabolism"
Oarb_124529_c1_g1	"Signal transduction mechanisms"
Oarb_124531_c2_g1	"Signal transduction mechanisms"
Oarb_124546_c6_g4	"Replication, recombination and repair"
Oarb_124551_c1_g1	"Cytoskeleton"
Oarb_124554_c0_g1	"Replication, recombination and repair"
Oarb_124587_c3_g1	"Transcription"
Oarb_124593_c1_g1	"Signal transduction mechanisms"
Oarb_124605_c7_g1	""
Oarb_124606_c3_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_124606_c3_g1	"Replication, recombination and repair"
Oarb_124632_c2_g2	"Translation, ribosomal structure and biogenesis"
Oarb_124635_c3_g1	"Signal transduction mechanisms"
Oarb_124639_c3_g1	"Signal transduction mechanisms"
Oarb_124659_c1_g1	"Inorganic ion transport and metabolism"
Oarb_124692_c3_g1	"Lipid transport and metabolism"
Oarb_124698_c1_g1	"Signal transduction mechanisms"
Oarb_124698_c1_g2	"Signal transduction mechanisms"
Oarb_124755_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_124774_c2_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_124776_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_124802_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_124824_c2_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_124833_c6_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_124848_c4_g2	"Signal transduction mechanisms"
Oarb_124855_c3_g2	"Lipid transport and metabolism"
Oarb_124883_c0_g1	"RNA processing and modification"
Oarb_124889_c3_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_124890_c1_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_124895_c6_g2	"Amino acid transport and metabolism"
Oarb_124905_c3_g1	"Nucleotide transport and metabolism"
Oarb_124905_c3_g2	"Nucleotide transport and metabolism"
Oarb_124921_c2_g2	"Signal transduction mechanisms"
Oarb_124923_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_124925_c1_g2	"Nucleotide transport and metabolism"
Oarb_124926_c1_g3	"Translation, ribosomal structure and biogenesis"
Oarb_124941_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_124954_c7_g1	"Replication, recombination and repair"
Oarb_124956_c7_g1	"Transcription"
Oarb_124973_c1_g1	"Lipid transport and metabolism"
Oarb_124982_c0_g1	"Signal transduction mechanisms"
Oarb_124982_c0_g2	"Signal transduction mechanisms"
Oarb_125017_c0_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_125073_c2_g2	"Signal transduction mechanisms"
Oarb_125192_c5_g1	"Transcription"
Oarb_125222_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_125238_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_125277_c4_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_125294_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_125310_c4_g1	"Cytoskeleton"
Oarb_125381_c4_g1	"Signal transduction mechanisms"
Oarb_125403_c2_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_125488_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_125555_c0_g1	"Signal transduction mechanisms"
Oarb_125585_c6_g1	""
Oarb_125596_c1_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_125598_c2_g1	"Translation, ribosomal structure and biogenesis"
Oarb_125638_c1_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_125654_c5_g1	""
Oarb_125661_c2_g2	"Signal transduction mechanisms"
Oarb_125675_c3_g1	"Inorganic ion transport and metabolism"
Oarb_125679_c3_g1	"Signal transduction mechanisms"
Oarb_125686_c6_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_125688_c1_g1	"Amino acid transport and metabolism"
Oarb_125715_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_125733_c6_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_125736_c1_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_125752_c2_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_125815_c1_g1	""
Oarb_125826_c3_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_125829_c2_g1	"Carbohydrate transport and metabolism"
Oarb_125843_c8_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_125849_c4_g1	"Signal transduction mechanisms"
Oarb_125849_c4_g2	"Signal transduction mechanisms"
Oarb_125849_c4_g3	"Signal transduction mechanisms"
Oarb_125908_c4_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_125958_c0_g2	"Translation, ribosomal structure and biogenesis"
Oarb_125959_c0_g1	"RNA processing and modification"
Oarb_125962_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_125969_c3_g1	"Carbohydrate transport and metabolism"
Oarb_125969_c3_g3	"Carbohydrate transport and metabolism"
Oarb_125980_c3_g1	"Signal transduction mechanisms"
Oarb_126003_c3_g1	"Carbohydrate transport and metabolism"
Oarb_126011_c2_g1	"Lipid transport and metabolism"
Oarb_126019_c1_g2	"Amino acid transport and metabolism"
Oarb_126079_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_126101_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_126140_c3_g1	"Carbohydrate transport and metabolism"
Oarb_126159_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_126161_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_126165_c1_g2	"Amino acid transport and metabolism"
Oarb_126200_c0_g2	"Translation, ribosomal structure and biogenesis"
Oarb_126207_c2_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_126207_c2_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_126208_c2_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_126224_c1_g2	"Signal transduction mechanisms"
Oarb_126237_c0_g2	"Extracellular structures"
Oarb_126314_c2_g2	"Translation, ribosomal structure and biogenesis"
Oarb_126322_c2_g1	""
Oarb_126322_c2_g1	"Chromatin structure and dynamics"
Oarb_126322_c5_g1	"Chromatin structure and dynamics"
Oarb_126328_c3_g1	"Transcription"
Oarb_126381_c6_g1	"Inorganic ion transport and metabolism"
Oarb_126389_c0_g2	"Transcription"
Oarb_126413_c3_g1	"Signal transduction mechanisms"
Oarb_126431_c1_g1	"Nucleotide transport and metabolism"
Oarb_126459_c4_g1	"Nucleotide transport and metabolism"
Oarb_126479_c0_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_126483_c8_g1	"Transcription"
Oarb_126483_c9_g1	"Transcription"
Oarb_126514_c3_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_126526_c1_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_126557_c4_g8	"Energy production and conversion"
Oarb_126561_c0_g4	"Posttranslational modification, protein turnover, chaperones"
Oarb_126572_c4_g2	"Transcription"
Oarb_126577_c0_g1	"Replication, recombination and repair"
Oarb_126631_c1_g1	"Signal transduction mechanisms"
Oarb_126644_c2_g2	"Carbohydrate transport and metabolism"
Oarb_126649_c5_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_126656_c1_g1	"Transcription"
Oarb_126686_c0_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_126705_c0_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_126707_c3_g1	"Transcription"
Oarb_126744_c4_g2	""
Oarb_126765_c0_g1	"Transcription"
Oarb_126783_c0_g2	"Chromatin structure and dynamics"
Oarb_126787_c2_g1	"Replication, recombination and repair"
Oarb_126801_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_126827_c2_g1	"Carbohydrate transport and metabolism"
Oarb_126878_c1_g1	"Signal transduction mechanisms"
Oarb_126903_c3_g1	"Carbohydrate transport and metabolism"
Oarb_126962_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_126990_c3_g1	"Inorganic ion transport and metabolism"
Oarb_126990_c3_g2	"Inorganic ion transport and metabolism"
Oarb_126990_c3_g3	"Inorganic ion transport and metabolism"
Oarb_127037_c0_g1	"Transcription"
Oarb_127121_c1_g1	"Amino acid transport and metabolism"
Oarb_127131_c0_g1	""
Oarb_127158_c4_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_127173_c3_g1	""
Oarb_127174_c1_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_127233_c2_g1	"Signal transduction mechanisms"
Oarb_127236_c0_g1	"Lipid transport and metabolism"
Oarb_127240_c0_g1	"Inorganic ion transport and metabolism"
Oarb_127241_c2_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_127251_c0_g2	"Amino acid transport and metabolism"
Oarb_127293_c5_g1	"Signal transduction mechanisms"
Oarb_127296_c1_g2	"Nucleotide transport and metabolism"
Oarb_127316_c3_g3	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_127320_c1_g1	"Coenzyme transport and metabolism"
Oarb_127330_c2_g2	"Amino acid transport and metabolism"
Oarb_127357_c1_g1	"Replication, recombination and repair"
Oarb_127367_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_127372_c4_g2	"Signal transduction mechanisms"
Oarb_127404_c2_g2	"Transcription"
Oarb_127405_c2_g3	"Signal transduction mechanisms"
Oarb_127422_c2_g1	"Amino acid transport and metabolism"
Oarb_127428_c6_g1	"Coenzyme transport and metabolism"
Oarb_127488_c2_g1	"Chromatin structure and dynamics"
Oarb_127489_c2_g1	"Transcription"
Oarb_127513_c1_g5	"Inorganic ion transport and metabolism"
Oarb_127513_c1_g6	"Inorganic ion transport and metabolism"
Oarb_127543_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_127557_c3_g1	"Signal transduction mechanisms"
Oarb_127580_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_127589_c1_g3	"Inorganic ion transport and metabolism"
Oarb_127597_c1_g2	""
Oarb_127611_c2_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_127615_c0_g1	""
Oarb_127616_c2_g1	"Carbohydrate transport and metabolism"
Oarb_127632_c2_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_127645_c0_g1	"Carbohydrate transport and metabolism"
Oarb_127649_c1_g1	"Inorganic ion transport and metabolism"
Oarb_127694_c2_g1	"Replication, recombination and repair"
Oarb_127702_c1_g1	"Amino acid transport and metabolism"
Oarb_127730_c0_g1	"Energy production and conversion"
Oarb_127744_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_127751_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_127756_c5_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_127758_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_127758_c3_g1	"Signal transduction mechanisms"
Oarb_127759_c1_g2	"Transcription"
Oarb_127812_c0_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_127813_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_127820_c4_g1	"Signal transduction mechanisms"
Oarb_127846_c1_g1	""
Oarb_127853_c3_g2	"Carbohydrate transport and metabolism"
Oarb_127860_c0_g1	"Amino acid transport and metabolism"
Oarb_127932_c1_g1	"Signal transduction mechanisms"
Oarb_127945_c1_g1	"Amino acid transport and metabolism"
Oarb_127963_c2_g1	"Inorganic ion transport and metabolism"
Oarb_127972_c5_g1	"Transcription"
Oarb_128027_c1_g1	"Lipid transport and metabolism"
Oarb_128027_c1_g1	"Signal transduction mechanisms"
Oarb_128050_c1_g2	"Carbohydrate transport and metabolism"
Oarb_128076_c1_g1	"Energy production and conversion"
Oarb_128077_c6_g1	"Inorganic ion transport and metabolism"
Oarb_128091_c6_g3	"Translation, ribosomal structure and biogenesis"
Oarb_128110_c2_g1	"Signal transduction mechanisms"
Oarb_128118_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_128123_c1_g1	"Signal transduction mechanisms"
Oarb_128123_c1_g2	"Signal transduction mechanisms"
Oarb_128125_c0_g2	"Carbohydrate transport and metabolism"
Oarb_128127_c2_g1	"Amino acid transport and metabolism"
Oarb_128142_c0_g5	"Transcription"
Oarb_128143_c3_g1	"Amino acid transport and metabolism"
Oarb_128171_c1_g3	"Cell wall/membrane/envelope biogenesis"
Oarb_128174_c2_g1	"Signal transduction mechanisms"
Oarb_128195_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_128221_c2_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_128233_c0_g1	""
Oarb_128236_c0_g1	"Transcription"
Oarb_128318_c6_g1	"Transcription"
Oarb_128326_c8_g1	"Transcription"
Oarb_128335_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_128388_c8_g1	"Translation, ribosomal structure and biogenesis"
Oarb_128457_c0_g1	"Signal transduction mechanisms"
Oarb_128459_c0_g1	"Carbohydrate transport and metabolism"
Oarb_128473_c1_g1	"Signal transduction mechanisms"
Oarb_128477_c8_g1	""
Oarb_128483_c0_g1	"Energy production and conversion"
Oarb_128500_c3_g2	"Defense mechanisms"
Oarb_128545_c1_g1	"Lipid transport and metabolism"
Oarb_128596_c0_g3	"Transcription"
Oarb_128618_c2_g3	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_128628_c5_g1	"Replication, recombination and repair"
Oarb_128640_c0_g1	"Amino acid transport and metabolism"
Oarb_128648_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_128676_c2_g1	"Carbohydrate transport and metabolism"
Oarb_128739_c0_g2	"Transcription"
Oarb_128740_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_128740_c3_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_128806_c1_g3	"Cell wall/membrane/envelope biogenesis"
Oarb_128834_c5_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_128842_c2_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_128860_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_128860_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_128866_c1_g1	""
Oarb_128887_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_128899_c4_g1	"Lipid transport and metabolism"
Oarb_128907_c4_g1	"Lipid transport and metabolism"
Oarb_128910_c0_g1	""
Oarb_128910_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_128923_c0_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_128939_c5_g6	"Signal transduction mechanisms"
Oarb_128945_c3_g5	"Signal transduction mechanisms"
Oarb_128951_c1_g5	"Signal transduction mechanisms"
Oarb_128959_c7_g1	"Transcription"
Oarb_128968_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_128973_c1_g1	"Energy production and conversion"
Oarb_128983_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_129008_c1_g6	"Signal transduction mechanisms"
Oarb_129056_c3_g1	"Lipid transport and metabolism"
Oarb_129065_c0_g1	""
Oarb_129071_c1_g1	"Signal transduction mechanisms"
Oarb_129071_c1_g4	"Signal transduction mechanisms"
Oarb_129074_c3_g4	"Replication, recombination and repair"
Oarb_129094_c3_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_129098_c1_g1	"Signal transduction mechanisms"
Oarb_129117_c0_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_129144_c1_g1	"Carbohydrate transport and metabolism"
Oarb_129147_c3_g1	"Signal transduction mechanisms"
Oarb_129189_c2_g1	"RNA processing and modification"
Oarb_129190_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_129196_c2_g1	"Replication, recombination and repair"
Oarb_129204_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_129236_c1_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_129269_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_129270_c4_g1	"Signal transduction mechanisms"
Oarb_129279_c0_g2	"Signal transduction mechanisms"
Oarb_129282_c2_g1	""
Oarb_129297_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_129310_c1_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_129316_c0_g2	"Transcription"
Oarb_129325_c2_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_129337_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_129345_c1_g3	"Translation, ribosomal structure and biogenesis"
Oarb_129349_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_129400_c0_g1	"Signal transduction mechanisms"
Oarb_129412_c0_g1	"Inorganic ion transport and metabolism"
Oarb_129415_c3_g2	"Transcription"
Oarb_129423_c1_g3	"Nucleotide transport and metabolism"
Oarb_129441_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_129443_c0_g2	""
Oarb_129443_c0_g5	""
Oarb_129448_c1_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_129463_c4_g2	"RNA processing and modification"
Oarb_129531_c10_g1	"Replication, recombination and repair"
Oarb_129543_c4_g2	"Signal transduction mechanisms"
Oarb_129562_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_129570_c3_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_129572_c0_g1	"Signal transduction mechanisms"
Oarb_129576_c0_g1	"Cell motility"
Oarb_129577_c1_g1	"Nucleotide transport and metabolism"
Oarb_129587_c3_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_129590_c9_g3	"Translation, ribosomal structure and biogenesis"
Oarb_129601_c0_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_129606_c4_g2	"RNA processing and modification"
Oarb_129606_c6_g1	"Signal transduction mechanisms"
Oarb_129643_c1_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_129654_c0_g1	"Signal transduction mechanisms"
Oarb_129672_c0_g1	""
Oarb_129705_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_129709_c7_g1	"Signal transduction mechanisms"
Oarb_129730_c3_g1	"Signal transduction mechanisms"
Oarb_129890_c1_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_129891_c7_g6	"Lipid transport and metabolism"
