seq	term
1079	NVE1972	Intracellular trafficking, secretion, and vesicular transport
1080	NVE1975	Energy production and conversion
1081	NVE1978	
1082	NVE1979	
1083	NVE1980	Amino acid transport and metabolism
1084	NVE1981	
1085	NVE1982	
1086	NVE1984	
1087	NVE1985	
1088	NVE1986	Energy production and conversion
1089	NVE1987	Intracellular trafficking, secretion, and vesicular transport
1090	NVE1989	Coenzyme transport and metabolism
1091	NVE1990	Lipid transport and metabolism
1092	NVE1991	Lipid transport and metabolism
1093	NVE1992	Signal transduction mechanisms
1094	NVE1994	Amino acid transport and metabolism
1095	NVE1995	Intracellular trafficking, secretion, and vesicular transport
1096	NVE1996	Signal transduction mechanisms
1097	NVE1997	Posttranslational modification, protein turnover, chaperones
1098	NVE1997	Signal transduction mechanisms
1099	NVE1998	Posttranslational modification, protein turnover, chaperones
1100	NVE1999	Posttranslational modification, protein turnover, chaperones
1101	NVE2000	Transcription
1102	NVE2001	Amino acid transport and metabolism
1103	NVE2001	Posttranslational modification, protein turnover, chaperones
1104	NVE2002	Amino acid transport and metabolism
1105	NVE2002	Posttranslational modification, protein turnover, chaperones
1106	NVE2004	Translation, ribosomal structure and biogenesis
1107	NVE2006	Cytoskeleton
1108	NVE2007	
1109	NVE2008	Cytoskeleton
1110	NVE2015	Extracellular structures
1111	NVE2018	
1112	NVE2019	Signal transduction mechanisms
1113	NVE2020	Nuclear structure
1114	NVE2021	Signal transduction mechanisms
1115	NVE2024	Transcription
1116	NVE2026	
1117	NVE2028	Secondary metabolites biosynthesis, transport and catabolism
1118	NVE2030	Secondary metabolites biosynthesis, transport and catabolism
1119	NVE2037	RNA processing and modification
1120	NVE2038	Chromatin structure and dynamics
1121	NVE2039	Chromatin structure and dynamics
1122	NVE2042	Carbohydrate transport and metabolism
1123	NVE2042	Cell wall/membrane/envelope biogenesis
1124	NVE2043	Transcription
1125	NVE2046	Intracellular trafficking, secretion, and vesicular transport
1126	NVE2047	Signal transduction mechanisms
1127	NVE2048	Signal transduction mechanisms
1128	NVE2049	Posttranslational modification, protein turnover, chaperones
1129	NVE2051	Inorganic ion transport and metabolism
1130	NVE2052	Inorganic ion transport and metabolism
1131	NVE2055	Inorganic ion transport and metabolism
1132	NVE2056	Inorganic ion transport and metabolism
1133	NVE2057	Inorganic ion transport and metabolism
1134	NVE2058	Carbohydrate transport and metabolism
1135	NVE2059	Carbohydrate transport and metabolism
1136	NVE2063	Chromatin structure and dynamics
1137	NVE2063	Transcription
1138	NVE2064	Signal transduction mechanisms
1139	NVE2064	Intracellular trafficking, secretion, and vesicular transport
1140	NVE2065	Replication, recombination and repair
1141	NVE2066	Signal transduction mechanisms
1142	NVE2067	Nucleotide transport and metabolism
1143	NVE2068	Intracellular trafficking, secretion, and vesicular transport
1144	NVE2069	Lipid transport and metabolism
1145	NVE2069	Secondary metabolites biosynthesis, transport and catabolism
1146	NVE2070	Posttranslational modification, protein turnover, chaperones
1147	NVE2071	Posttranslational modification, protein turnover, chaperones
1148	NVE2072	Posttranslational modification, protein turnover, chaperones
1149	NVE2073	Inorganic ion transport and metabolism
1150	NVE2073	Signal transduction mechanisms
1151	NVE2074	Carbohydrate transport and metabolism
1152	NVE2075	Nucleotide transport and metabolism
1153	NVE2077	Posttranslational modification, protein turnover, chaperones
1154	NVE2080	Transcription
1155	NVE2087	Posttranslational modification, protein turnover, chaperones
1156	NVE2088	Translation, ribosomal structure and biogenesis
1157	NVE2091	Cell wall/membrane/envelope biogenesis
1158	NVE2092	Posttranslational modification, protein turnover, chaperones
1159	NVE2093	Signal transduction mechanisms
1160	NVE2095	Inorganic ion transport and metabolism
1161	NVE2097	Nucleotide transport and metabolism
1162	NVE2099	Cytoskeleton
1163	NVE2102	Transcription
1164	NVE2105	Posttranslational modification, protein turnover, chaperones
1165	NVE2107	Translation, ribosomal structure and biogenesis
1166	NVE2108	
1167	NVE2112	Nucleotide transport and metabolism
1168	NVE2113	Cell cycle control, cell division, chromosome partitioning
1169	NVE2113	Signal transduction mechanisms
1170	NVE2114	Intracellular trafficking, secretion, and vesicular transport
1171	NVE2117	RNA processing and modification
1172	NVE2121	Chromatin structure and dynamics
1173	NVE2123	Transcription
1174	NVE2123	Posttranslational modification, protein turnover, chaperones
1175	NVE2123	Signal transduction mechanisms
1176	NVE2124	Carbohydrate transport and metabolism
1177	NVE2127	Intracellular trafficking, secretion, and vesicular transport
1178	NVE2127	Nuclear structure
1179	NVE2128	Signal transduction mechanisms
1180	NVE2129	Signal transduction mechanisms
1181	NVE2130	Signal transduction mechanisms
1182	NVE2136	Transcription
1183	NVE2138	Intracellular trafficking, secretion, and vesicular transport
1184	NVE2139	Inorganic ion transport and metabolism
1185	NVE2141	Posttranslational modification, protein turnover, chaperones
1186	NVE2145	Amino acid transport and metabolism
1187	NVE2150	Signal transduction mechanisms
1188	NVE2152	
1189	NVE2153	Posttranslational modification, protein turnover, chaperones
1190	NVE2154	Posttranslational modification, protein turnover, chaperones
1191	NVE2155	Intracellular trafficking, secretion, and vesicular transport
1192	NVE2156	Signal transduction mechanisms
1193	NVE2157	Defense mechanisms
1194	NVE2160	Signal transduction mechanisms
1195	NVE2161	Translation, ribosomal structure and biogenesis
1196	NVE2163	Carbohydrate transport and metabolism
1197	NVE2166	Inorganic ion transport and metabolism
1198	NVE2166	Signal transduction mechanisms
1199	NVE2168	Signal transduction mechanisms
1200	NVE2170	Posttranslational modification, protein turnover, chaperones
1201	NVE2171	Extracellular structures
1202	NVE2172	Posttranslational modification, protein turnover, chaperones
1203	NVE2174	Transcription
1204	NVE2177	RNA processing and modification
1205	NVE2177	Cell cycle control, cell division, chromosome partitioning
1206	NVE2177	Transcription
1207	NVE2178	RNA processing and modification
1208	NVE2178	Cell cycle control, cell division, chromosome partitioning
1209	NVE2178	Transcription
1210	NVE2182	Intracellular trafficking, secretion, and vesicular transport
1211	NVE2183	Energy production and conversion
1212	NVE2184	Intracellular trafficking, secretion, and vesicular transport
1213	NVE2185	Intracellular trafficking, secretion, and vesicular transport
1214	NVE2186	Intracellular trafficking, secretion, and vesicular transport
1215	NVE2193	Posttranslational modification, protein turnover, chaperones
1216	NVE2194	Posttranslational modification, protein turnover, chaperones
1217	NVE2207	Transcription
1218	NVE2207	Replication, recombination and repair
1219	NVE2207	Signal transduction mechanisms
1220	NVE2213	Signal transduction mechanisms
1221	NVE2214	RNA processing and modification
1222	NVE2215	Posttranslational modification, protein turnover, chaperones
1223	NVE2218	Translation, ribosomal structure and biogenesis
1224	NVE2222	Cell wall/membrane/envelope biogenesis
1225	NVE2223	Amino acid transport and metabolism
1226	NVE2224	Signal transduction mechanisms
1227	NVE2227	Signal transduction mechanisms
1228	NVE2227	Intracellular trafficking, secretion, and vesicular transport
1229	NVE2228	Energy production and conversion
1230	NVE2230	Posttranslational modification, protein turnover, chaperones
1231	NVE2230	Signal transduction mechanisms
1232	NVE2234	Posttranslational modification, protein turnover, chaperones
1233	NVE2238	Secondary metabolites biosynthesis, transport and catabolism
1234	NVE2239	RNA processing and modification
1235	NVE2240	RNA processing and modification
1236	NVE2241	Signal transduction mechanisms
1237	NVE2242	Lipid transport and metabolism
1238	NVE2243	Inorganic ion transport and metabolism
1239	NVE2243	Signal transduction mechanisms
1240	NVE2244	Inorganic ion transport and metabolism
1241	NVE2244	Signal transduction mechanisms
1242	NVE2245	Signal transduction mechanisms
1243	NVE2245	Cytoskeleton
1244	NVE2248	Transcription
1245	NVE2252	RNA processing and modification
1246	NVE2253	Signal transduction mechanisms
1247	NVE2255	Transcription
1248	NVE2256	Translation, ribosomal structure and biogenesis
1249	NVE2258	Chromatin structure and dynamics
1250	NVE2259	Cell cycle control, cell division, chromosome partitioning
1251	NVE2265	Lipid transport and metabolism
1252	NVE2266	Lipid transport and metabolism
1253	NVE2267	Signal transduction mechanisms
1254	NVE2271	Replication, recombination and repair
1255	NVE2275	Lipid transport and metabolism
1256	NVE2275	Signal transduction mechanisms
1257	NVE2277	Signal transduction mechanisms
1258	NVE2278	Posttranslational modification, protein turnover, chaperones
1259	NVE2281	Intracellular trafficking, secretion, and vesicular transport
1260	NVE2282	Posttranslational modification, protein turnover, chaperones
1261	NVE2283	Posttranslational modification, protein turnover, chaperones
1262	NVE2284	Translation, ribosomal structure and biogenesis
1263	NVE2287	Cell cycle control, cell division, chromosome partitioning
1264	NVE2287	Signal transduction mechanisms
1265	NVE2288	Translation, ribosomal structure and biogenesis
1266	NVE2289	Signal transduction mechanisms
1267	NVE2290	Posttranslational modification, protein turnover, chaperones
1268	NVE2292	Posttranslational modification, protein turnover, chaperones
1269	NVE2293	Energy production and conversion
1270	NVE2294	Transcription
1271	NVE2294	Replication, recombination and repair
1272	NVE2294	Signal transduction mechanisms
1273	NVE2295	Translation, ribosomal structure and biogenesis
1274	NVE2296	Posttranslational modification, protein turnover, chaperones
1275	NVE2297	Posttranslational modification, protein turnover, chaperones
1276	NVE2298	Translation, ribosomal structure and biogenesis
1277	NVE2301	Signal transduction mechanisms
1278	NVE2304	Amino acid transport and metabolism
1279	NVE2307	Posttranslational modification, protein turnover, chaperones
1280	NVE2307	Signal transduction mechanisms
1281	NVE2308	Replication, recombination and repair
1282	NVE2309	Carbohydrate transport and metabolism
1283	NVE2310	Replication, recombination and repair
1284	NVE2312	Amino acid transport and metabolism
1285	NVE2313	Lipid transport and metabolism
1286	NVE2314	RNA processing and modification
1287	NVE2315	Secondary metabolites biosynthesis, transport and catabolism
1288	NVE2316	Secondary metabolites biosynthesis, transport and catabolism
1289	NVE2317	Lipid transport and metabolism
1290	NVE2317	Secondary metabolites biosynthesis, transport and catabolism
1291	NVE2318	Lipid transport and metabolism
1292	NVE2318	Secondary metabolites biosynthesis, transport and catabolism
1293	NVE2319	Carbohydrate transport and metabolism
1294	NVE2321	Lipid transport and metabolism
1295	NVE2323	Signal transduction mechanisms
1296	NVE2326	Posttranslational modification, protein turnover, chaperones
1297	NVE2327	Amino acid transport and metabolism
1298	NVE2328	Amino acid transport and metabolism
1299	NVE2330	Translation, ribosomal structure and biogenesis
1300	NVE2332	Carbohydrate transport and metabolism
1301	NVE2334	Signal transduction mechanisms
1302	NVE2336	Intracellular trafficking, secretion, and vesicular transport
1303	NVE2337	Transcription
1304	NVE2342	Amino acid transport and metabolism
1305	NVE2343	Amino acid transport and metabolism
1306	NVE2347	Nucleotide transport and metabolism
1307	NVE2348	Nucleotide transport and metabolism
1308	NVE2349	Intracellular trafficking, secretion, and vesicular transport
1309	NVE2350	Transcription
1310	NVE2353	Intracellular trafficking, secretion, and vesicular transport
1311	NVE2353	Nuclear structure
1312	NVE2357	Posttranslational modification, protein turnover, chaperones
1313	NVE2361	Signal transduction mechanisms
1314	NVE2362	Signal transduction mechanisms
1315	NVE2364	
1316	NVE2365	Lipid transport and metabolism
1317	NVE2366	RNA processing and modification
1318	NVE2366	Cell cycle control, cell division, chromosome partitioning
1319	NVE2367	Lipid transport and metabolism
1320	NVE2369	Signal transduction mechanisms
1321	NVE2371	Signal transduction mechanisms
1322	NVE2372	Inorganic ion transport and metabolism
1323	NVE2372	Signal transduction mechanisms
1324	NVE2374	Posttranslational modification, protein turnover, chaperones
1325	NVE2378	Intracellular trafficking, secretion, and vesicular transport
1326	NVE2379	Amino acid transport and metabolism
1327	NVE2379	Inorganic ion transport and metabolism
1328	NVE2379	Signal transduction mechanisms
1329	NVE2380	RNA processing and modification
1330	NVE2383	Replication, recombination and repair
1331	NVE2384	Translation, ribosomal structure and biogenesis
1332	NVE2385	Transcription
1333	NVE2388	Transcription
1334	NVE2389	Transcription
1335	NVE2390	
1336	NVE2391	Intracellular trafficking, secretion, and vesicular transport
1337	NVE2392	Translation, ribosomal structure and biogenesis
1338	NVE2392	Transcription
1339	NVE2392	Replication, recombination and repair
1340	NVE2393	Inorganic ion transport and metabolism
1341	NVE2393	Secondary metabolites biosynthesis, transport and catabolism
1342	NVE2394	Nucleotide transport and metabolism
1343	NVE2396	Signal transduction mechanisms
1344	NVE2397	Transcription
1345	NVE2398	Amino acid transport and metabolism
1346	NVE2398	Inorganic ion transport and metabolism
1347	NVE2398	Signal transduction mechanisms
1348	NVE2399	
1349	NVE2400	Transcription
1350	NVE2403	Carbohydrate transport and metabolism
1351	NVE2415	Nuclear structure
1352	NVE2416	Posttranslational modification, protein turnover, chaperones
1353	NVE2417	Posttranslational modification, protein turnover, chaperones
1354	NVE2418	Signal transduction mechanisms
1355	NVE2420	Posttranslational modification, protein turnover, chaperones
1356	NVE2424	Cytoskeleton
1357	NVE2425	Cytoskeleton
1358	NVE2431	Intracellular trafficking, secretion, and vesicular transport
1359	NVE2434	Signal transduction mechanisms
1360	NVE2435	Transcription
1361	NVE2437	Lipid transport and metabolism
1362	NVE2438	Transcription
1363	NVE2439	Posttranslational modification, protein turnover, chaperones
1364	NVE2444	Transcription
1365	NVE2445	Energy production and conversion
1366	NVE2446	Carbohydrate transport and metabolism
1367	NVE2446	Lipid transport and metabolism
1368	NVE2450	Amino acid transport and metabolism
1369	NVE2451	Cell wall/membrane/envelope biogenesis
1370	NVE2457	Secondary metabolites biosynthesis, transport and catabolism
1371	NVE2458	
1372	NVE2466	Secondary metabolites biosynthesis, transport and catabolism
1373	NVE2467	Signal transduction mechanisms
1374	NVE2468	Signal transduction mechanisms
1375	NVE2470	Chromatin structure and dynamics
1376	NVE2473	Signal transduction mechanisms
1377	NVE2474	Cell wall/membrane/envelope biogenesis
1378	NVE2475	Cell wall/membrane/envelope biogenesis
1379	NVE2477	Transcription
1380	NVE2478	Transcription
1381	NVE2479	Transcription
1382	NVE2480	Transcription
1383	NVE2481	Transcription
1384	NVE2482	RNA processing and modification
1385	NVE2485	Transcription
1386	NVE2487	Amino acid transport and metabolism
1387	NVE2489	Intracellular trafficking, secretion, and vesicular transport
1388	NVE2490	
1389	NVE2491	Replication, recombination and repair
1390	NVE2492	Inorganic ion transport and metabolism
1391	NVE2492	Signal transduction mechanisms
1392	NVE2494	Signal transduction mechanisms
1393	NVE2496	Carbohydrate transport and metabolism
1394	NVE2498	Energy production and conversion
1395	NVE2499	Signal transduction mechanisms
1396	NVE2501	Lipid transport and metabolism
1397	NVE2505	Lipid transport and metabolism
1398	NVE2507	Translation, ribosomal structure and biogenesis
1399	NVE2508	Intracellular trafficking, secretion, and vesicular transport
1400	NVE2512	Inorganic ion transport and metabolism
1401	NVE2513	Signal transduction mechanisms
1402	NVE2514	Signal transduction mechanisms
1403	NVE2515	Translation, ribosomal structure and biogenesis
1404	NVE2516	Translation, ribosomal structure and biogenesis
1405	NVE2517	Defense mechanisms
1406	NVE2518	RNA processing and modification
1407	NVE2519	Signal transduction mechanisms
1408	NVE2525	Signal transduction mechanisms
1409	NVE2525	Intracellular trafficking, secretion, and vesicular transport
1410	NVE2525	Chromatin structure and dynamics
1411	NVE2525	Cell cycle control, cell division, chromosome partitioning
1412	NVE2525	Replication, recombination and repair
1413	NVE2529	Cell cycle control, cell division, chromosome partitioning
1414	NVE2529	Cell wall/membrane/envelope biogenesis
1415	NVE2532	Transcription
1416	NVE2532	Replication, recombination and repair
1417	NVE2532	Signal transduction mechanisms
1418	NVE2534	Signal transduction mechanisms
1419	NVE2537	Coenzyme transport and metabolism
1420	NVE2538	RNA processing and modification
1421	NVE2539	Cytoskeleton
1422	NVE2542	Posttranslational modification, protein turnover, chaperones
1423	NVE2544	Cytoskeleton
1424	NVE2547	Replication, recombination and repair
1425	NVE2552	
1426	NVE2557	Cytoskeleton
1427	NVE2559	Cytoskeleton
1428	NVE2563	Posttranslational modification, protein turnover, chaperones
1429	NVE2565	
1430	NVE2566	RNA processing and modification
1431	NVE2568	
1432	NVE2570	Signal transduction mechanisms
1433	NVE2571	Transcription
1434	NVE2579	Signal transduction mechanisms
1435	NVE2581	Transcription
1436	NVE2582	Posttranslational modification, protein turnover, chaperones
1437	NVE2585	Amino acid transport and metabolism
1438	NVE2586	Amino acid transport and metabolism
1439	NVE2587	Signal transduction mechanisms
1440	NVE2587	Cytoskeleton
1441	NVE2588	Signal transduction mechanisms
1442	NVE2588	Cytoskeleton
1443	NVE2589	Signal transduction mechanisms
1444	NVE2590	Posttranslational modification, protein turnover, chaperones
1445	NVE2592	Posttranslational modification, protein turnover, chaperones
1446	NVE2593	Carbohydrate transport and metabolism
1447	NVE2597	Posttranslational modification, protein turnover, chaperones
1448	NVE2598	Posttranslational modification, protein turnover, chaperones
1449	NVE2599	Transcription
1450	NVE2600	Transcription
1451	NVE2602	
1452	NVE2603	Signal transduction mechanisms
1453	NVE2603	Intracellular trafficking, secretion, and vesicular transport
1454	NVE2607	
1455	NVE2608	Lipid transport and metabolism
1456	NVE2609	Posttranslational modification, protein turnover, chaperones
1457	NVE2611	Cell wall/membrane/envelope biogenesis
1458	NVE2613	Transcription
1459	NVE2615	Energy production and conversion
1460	NVE2616	Posttranslational modification, protein turnover, chaperones
1461	NVE2618	Amino acid transport and metabolism
1462	NVE2619	Amino acid transport and metabolism
1463	NVE2620	Lipid transport and metabolism
1464	NVE2621	Signal transduction mechanisms
1465	NVE2622	Signal transduction mechanisms
1466	NVE2624	Transcription
1467	NVE2628	Carbohydrate transport and metabolism
1468	NVE2632	Posttranslational modification, protein turnover, chaperones
1469	NVE2635	Signal transduction mechanisms
1470	NVE2636	Nucleotide transport and metabolism
1471	NVE2637	Posttranslational modification, protein turnover, chaperones
1472	NVE2639	
1473	NVE2641	Intracellular trafficking, secretion, and vesicular transport
1474	NVE2643	RNA processing and modification
1475	NVE2644	RNA processing and modification
1476	NVE2645	Posttranslational modification, protein turnover, chaperones
1477	NVE2646	Replication, recombination and repair
1478	NVE2647	Intracellular trafficking, secretion, and vesicular transport
1479	NVE2648	Transcription
1480	NVE2654	Inorganic ion transport and metabolism
1481	NVE2658	Carbohydrate transport and metabolism
1482	NVE2659	Cytoskeleton
1483	NVE2660	Cytoskeleton
1484	NVE2667	Cell cycle control, cell division, chromosome partitioning
1485	NVE2667	Cytoskeleton
1486	NVE2672	Energy production and conversion
1487	NVE2674	Posttranslational modification, protein turnover, chaperones
1488	NVE2677	Posttranslational modification, protein turnover, chaperones
1489	NVE2678	Translation, ribosomal structure and biogenesis
1490	NVE2682	Extracellular structures
1491	NVE2683	Amino acid transport and metabolism
1492	NVE2685	Signal transduction mechanisms
1493	NVE2686	Cell cycle control, cell division, chromosome partitioning
1494	NVE2686	Replication, recombination and repair
1495	NVE2687	Secondary metabolites biosynthesis, transport and catabolism
1496	NVE2691	Signal transduction mechanisms
1497	NVE2692	RNA processing and modification
1498	NVE2694	Signal transduction mechanisms
1499	NVE2695	Signal transduction mechanisms
1500	NVE2696	Cytoskeleton
1501	NVE2697	Cytoskeleton
1502	NVE2698	Cytoskeleton
1503	NVE2699	Cytoskeleton
1504	NVE2700	Signal transduction mechanisms
1505	NVE2701	Cytoskeleton
1506	NVE2702	Cytoskeleton
1507	NVE2703	
1508	NVE2704	Intracellular trafficking, secretion, and vesicular transport
1509	NVE2705	Translation, ribosomal structure and biogenesis
1510	NVE2707	Cytoskeleton
1511	NVE2708	Signal transduction mechanisms
1512	NVE2709	Cytoskeleton
1513	NVE2713	Signal transduction mechanisms
1514	NVE2714	Signal transduction mechanisms
1515	NVE2715	Signal transduction mechanisms
1516	NVE2720	Intracellular trafficking, secretion, and vesicular transport
1517	NVE2721	Intracellular trafficking, secretion, and vesicular transport
1518	NVE2723	Energy production and conversion
1519	NVE2724	Intracellular trafficking, secretion, and vesicular transport
1520	NVE2725	Cytoskeleton
1521	NVE2726	Cytoskeleton
1522	NVE2727	Signal transduction mechanisms
1523	NVE2729	Secondary metabolites biosynthesis, transport and catabolism
1524	NVE2730	Posttranslational modification, protein turnover, chaperones
1525	NVE2731	Transcription
1526	NVE2733	Amino acid transport and metabolism
1527	NVE2734	Cell cycle control, cell division, chromosome partitioning
1528	NVE2735	Signal transduction mechanisms
1529	NVE2736	Cytoskeleton
1530	NVE2738	Signal transduction mechanisms
1531	NVE2740	
1532	NVE2749	
1533	NVE2750	
1534	NVE2751	
1535	NVE2752	
1536	NVE2753	
1537	NVE2754	
1538	NVE2755	
1539	NVE2756	Inorganic ion transport and metabolism
1540	NVE2765	Cell cycle control, cell division, chromosome partitioning
1541	NVE2765	Cytoskeleton
1542	NVE2766	Inorganic ion transport and metabolism
1543	NVE2770	Carbohydrate transport and metabolism
1544	NVE2770	Cell wall/membrane/envelope biogenesis
1545	NVE2771	Inorganic ion transport and metabolism
1546	NVE2771	Signal transduction mechanisms
1547	NVE2772	Amino acid transport and metabolism
1548	NVE2773	Defense mechanisms
1549	NVE2774	Replication, recombination and repair
1550	NVE2775	Replication, recombination and repair
1551	NVE2776	Transcription
1552	NVE2777	Posttranslational modification, protein turnover, chaperones
1553	NVE2779	Transcription
1554	NVE2780	Posttranslational modification, protein turnover, chaperones
1555	NVE2781	Defense mechanisms
1556	NVE2782	Transcription
1557	NVE2783	Transcription
1558	NVE2783	Replication, recombination and repair
1559	NVE2783	Signal transduction mechanisms
1560	NVE2784	Amino acid transport and metabolism
1561	NVE2786	Signal transduction mechanisms
1562	NVE2787	Signal transduction mechanisms
1563	NVE2788	Replication, recombination and repair
1564	NVE2792	Lipid transport and metabolism
1565	NVE2793	Lipid transport and metabolism
1566	NVE2796	Posttranslational modification, protein turnover, chaperones
1567	NVE2798	Signal transduction mechanisms
1568	NVE2802	Signal transduction mechanisms
1569	NVE2805	
1570	NVE2807	Signal transduction mechanisms
1571	NVE2809	Inorganic ion transport and metabolism
1572	NVE2810	Posttranslational modification, protein turnover, chaperones
1573	NVE2811	Cell cycle control, cell division, chromosome partitioning
1574	NVE2813	Signal transduction mechanisms
1575	NVE2814	Cell cycle control, cell division, chromosome partitioning
1576	NVE2815	Posttranslational modification, protein turnover, chaperones
1577	NVE2816	Chromatin structure and dynamics
1578	NVE2818	Chromatin structure and dynamics
1579	NVE2820	Nucleotide transport and metabolism
1580	NVE2822	Nucleotide transport and metabolism
1581	NVE2823	Intracellular trafficking, secretion, and vesicular transport
1582	NVE2824	RNA processing and modification
1583	NVE2825	Translation, ribosomal structure and biogenesis
1584	NVE2826	Signal transduction mechanisms
1585	NVE2829	Posttranslational modification, protein turnover, chaperones
1586	NVE2830	Posttranslational modification, protein turnover, chaperones
1587	NVE2830	Intracellular trafficking, secretion, and vesicular transport
1588	NVE2832	Posttranslational modification, protein turnover, chaperones
1589	NVE2833	Signal transduction mechanisms
1590	NVE2834	Posttranslational modification, protein turnover, chaperones
1591	NVE2835	Carbohydrate transport and metabolism
1592	NVE2836	Lipid transport and metabolism
1593	NVE2837	Cytoskeleton
1594	NVE2838	Cytoskeleton
1595	NVE2839	Cytoskeleton
1596	NVE2840	Cytoskeleton
1597	NVE2841	
1598	NVE2842	Signal transduction mechanisms
1599	NVE2843	Signal transduction mechanisms
1600	NVE2844	Signal transduction mechanisms
1601	NVE2845	Signal transduction mechanisms
1602	NVE2846	Signal transduction mechanisms
1603	NVE2847	Signal transduction mechanisms
1604	NVE2848	Signal transduction mechanisms
1605	NVE2849	Signal transduction mechanisms
1606	NVE2850	Signal transduction mechanisms
1607	NVE2851	Signal transduction mechanisms
1608	NVE2853	Signal transduction mechanisms
1609	NVE2855	Replication, recombination and repair
1610	NVE2861	Transcription
1611	NVE2862	Transcription
1612	NVE2864	Posttranslational modification, protein turnover, chaperones
1613	NVE2865	Posttranslational modification, protein turnover, chaperones
1614	NVE2868	Signal transduction mechanisms
1615	NVE2869	Replication, recombination and repair
1616	NVE2870	Cytoskeleton
1617	NVE2871	Intracellular trafficking, secretion, and vesicular transport
1618	NVE2872	Replication, recombination and repair
1619	NVE2876	Cytoskeleton
1620	NVE2878	Replication, recombination and repair
1621	NVE2880	Chromatin structure and dynamics
1622	NVE2881	Chromatin structure and dynamics
1623	NVE2885	
1624	NVE2886	Carbohydrate transport and metabolism
1625	NVE2886	Cell wall/membrane/envelope biogenesis
1626	NVE2890	Transcription
1627	NVE2893	Carbohydrate transport and metabolism
1628	NVE2893	Cell wall/membrane/envelope biogenesis
1629	NVE2894	Coenzyme transport and metabolism
1630	NVE2896	Secondary metabolites biosynthesis, transport and catabolism
1631	NVE2898	Defense mechanisms
1632	NVE2903	RNA processing and modification
1633	NVE2908	Amino acid transport and metabolism
1634	NVE2909	Amino acid transport and metabolism
1635	NVE2910	Transcription
1636	NVE2911	Posttranslational modification, protein turnover, chaperones
1637	NVE2913	Cell wall/membrane/envelope biogenesis
1638	NVE2915	Cell cycle control, cell division, chromosome partitioning
1639	NVE2915	Signal transduction mechanisms
1640	NVE2919	Posttranslational modification, protein turnover, chaperones
1641	NVE2920	Nucleotide transport and metabolism
1642	NVE2921	Translation, ribosomal structure and biogenesis
1643	NVE2922	Transcription
1644	NVE2924	Signal transduction mechanisms
1645	NVE2924	Intracellular trafficking, secretion, and vesicular transport
1646	NVE2926	Energy production and conversion
1647	NVE2926	Transcription
1648	NVE2928	Carbohydrate transport and metabolism
1649	NVE2928	Cell wall/membrane/envelope biogenesis
1650	NVE2929	Signal transduction mechanisms
1651	NVE2931	Transcription
1652	NVE2932	Cell cycle control, cell division, chromosome partitioning
1653	NVE2932	Intracellular trafficking, secretion, and vesicular transport
1654	NVE2932	Cytoskeleton
1655	NVE2934	Transcription
1656	NVE2934	Signal transduction mechanisms
1657	NVE2935	Transcription
1658	NVE2935	Signal transduction mechanisms
1659	NVE2937	Posttranslational modification, protein turnover, chaperones
1660	NVE2939	Signal transduction mechanisms
1661	NVE2940	Signal transduction mechanisms
1662	NVE2942	Translation, ribosomal structure and biogenesis
1663	NVE2943	Transcription
1664	NVE2945	Posttranslational modification, protein turnover, chaperones
1665	NVE2946	Signal transduction mechanisms
1666	NVE2947	Signal transduction mechanisms
1667	NVE2949	Extracellular structures
1668	NVE2951	Cell wall/membrane/envelope biogenesis
1669	NVE2953	Translation, ribosomal structure and biogenesis
1670	NVE2956	RNA processing and modification
1671	NVE2957	Posttranslational modification, protein turnover, chaperones
1672	NVE2957	Extracellular structures
1673	NVE2958	Posttranslational modification, protein turnover, chaperones
1674	NVE2958	Extracellular structures
1675	NVE2959	Defense mechanisms
1676	NVE2959	Extracellular structures
1677	NVE2960	Signal transduction mechanisms
1678	NVE2963	Inorganic ion transport and metabolism
1679	NVE2963	Signal transduction mechanisms
1680	NVE2965	Posttranslational modification, protein turnover, chaperones
1681	NVE2966	Intracellular trafficking, secretion, and vesicular transport
1682	NVE2967	Signal transduction mechanisms
1683	NVE2972	Translation, ribosomal structure and biogenesis
1684	NVE2976	Translation, ribosomal structure and biogenesis
1685	NVE2977	RNA processing and modification
1686	NVE2981	Amino acid transport and metabolism
1687	NVE2982	Replication, recombination and repair
1688	NVE2990	
1689	NVE2991	RNA processing and modification
1690	NVE2992	Carbohydrate transport and metabolism
1691	NVE2993	Intracellular trafficking, secretion, and vesicular transport
1692	NVE2994	Chromatin structure and dynamics
1693	NVE3000	Replication, recombination and repair
1694	NVE3001	Replication, recombination and repair
1695	NVE3002	Transcription
1696	NVE3003	Signal transduction mechanisms
1697	NVE3004	Intracellular trafficking, secretion, and vesicular transport
1698	NVE3005	Inorganic ion transport and metabolism
1699	NVE3006	RNA processing and modification
1700	NVE3006	Cell cycle control, cell division, chromosome partitioning
1701	NVE3006	Transcription
1702	NVE3008	RNA processing and modification
1703	NVE3008	Cell cycle control, cell division, chromosome partitioning
1704	NVE3008	Transcription
1705	NVE3009	RNA processing and modification
1706	NVE3009	Cell cycle control, cell division, chromosome partitioning
1707	NVE3009	Transcription
1708	NVE3013	Secondary metabolites biosynthesis, transport and catabolism
1709	NVE3014	Energy production and conversion
1710	NVE3015	Intracellular trafficking, secretion, and vesicular transport
1711	NVE3017	Signal transduction mechanisms
1712	NVE3018	Carbohydrate transport and metabolism
1713	NVE3023	
