,delta.rank,pval,level,nseqs,term,name,p.adj
829,2141,0.00508975064593071,2,20,GO:0008015,blood circulation,0.0329519994017617
830,1948,2.04709588841186e-05,5,56,GO:0008016,regulation of heart contraction,0.000353646259089926
831,-994,0.0192939950797153,2,65,GO:0008033,tRNA processing,0.0871059564532213
841,-3371,0.00307248342119891,2,9,GO:0008089;GO:0048490,anterograde axon cargo transport,0.0224545854345789
846,-754,0.00870015121301564,3,143,GO:0008202,steroid metabolic process,0.0490161597458751
853,1596,0.000544221809456234,2,55,GO:0008217,regulation of blood pressure,0.00551717079885871
854,1518,0.000900111191601547,2,56,GO:0008277,regulation of G-protein coupled receptor protein signaling pathway,0.00835725519171761
856,588,0.00359075345368105,2,293,GO:0008284,positive regulation of cell proliferation,0.0252771126697797
857,830,0.000833105405067767,3,192,GO:0008285,negative regulation of cell proliferation,0.00792386208303219
860,1677,0.00325946452559766,2,36,GO:0008306,associative learning,0.023542630001133
871,-1022,1.29603034789021e-05,2,216,GO:0008380,RNA splicing,0.000245159707148394
874,1070,0.000380013216899225,3,130,GO:0008543;GO:0044344;GO:0071774,response to fibroblast growth factor,0.00416415777482452
882,-933,6.43982507697125e-06,2,279,GO:0008610,lipid biosynthetic process,0.000138007896902688
886,-1494,0.00098112109481947,2,57,GO:0008643,carbohydrate transport,0.0090167876129974
887,-1853,0.00254474611779664,4,31,GO:0008645;GO:0015749;GO:0015758,monosaccharide transport,0.0192763095187012
888,-1646,2.26863841357381e-08,3,136,GO:0008652,cellular amino acid biosynthetic process,9.25495140766376e-07
890,-877,0.0126593560476759,3,95,GO:0008654,phospholipid biosynthetic process,0.0639688875683022
892,-1963,4.17803866507066e-05,2,51,GO:0009062;GO:0072329,monocarboxylic acid catabolic process,0.000667303722638172
893,-1383,0.000866351789664771,2,68,GO:0009064,glutamine family amino acid metabolic process,0.00812594781109395
895,-1972,3.2472158373262e-05,2,52,GO:0009066,aspartate family amino acid metabolic process,0.000541629203211158
901,-2559,0.00109572715900336,2,19,GO:0009081,branched-chain amino acid metabolic process,0.00989368576102767
902,-2466,0.00925213614788248,2,13,GO:0009083,branched-chain amino acid catabolic process,0.0517441686287288
906,-1561,0.000151982514047044,2,69,GO:0009108,coenzyme biosynthetic process,0.00200238440686105
908,-1892,0.000899680879142405,4,36,GO:0009112,nucleobase metabolic process,0.00835725519171761
910,566,0.00484242336561088,3,296,GO:0009118;GO:0030811;GO:0043087;GO:0033124;GO:0033121;GO:0043547,regulation of nucleoside metabolic process,0.0318377582834145
916,-2438,2.76975429178777e-07,4,52,GO:0009156;GO:0009124,nucleoside monophosphate biosynthetic process,8.52580730181217e-06
919,-1122,0.000165193109094596,4,133,GO:0009165;GO:1901293,nucleoside phosphate biosynthetic process,0.00215962883163823
920,-2978,7.94712103706763e-08,6,38,GO:0009168;GO:0009127,purine nucleoside monophosphate biosynthetic process,2.86265445016074e-06
924,2927,6.00931603867029e-07,6,34,GO:0009187,cyclic nucleotide metabolic process,1.67564467732344e-05
925,2913,1.38658802053882e-05,2,26,GO:0009190;GO:0052652,cyclic nucleotide biosynthetic process,0.000257864223658977
927,-3742,0.00727970157788934,6,6,GO:0009204,deoxyribonucleoside triphosphate catabolic process,0.0435495928316843
928,-2284,0.000321299496985078,7,29,GO:0009206;GO:0009145;GO:0009201;GO:0009142,nucleoside triphosphate biosynthetic process,0.00363709485194165
931,-2678,0.000171601528652911,6,23,GO:0009225,nucleotide-sugar metabolic process,0.00220159919354759
932,-2628,0.00289080658649208,4,15,GO:0009226,nucleotide-sugar biosynthetic process,0.0214655068023293
935,-3390,0.00169787862418594,3,10,GO:0009251;GO:0044247,cellular polysaccharide catabolic process,0.0140219927353502
938,1096,0.00241507717183916,2,90,GO:0009266,response to temperature stimulus,0.0185851165996532
939,-1080,0.0162565305223202,2,58,GO:0009267;GO:0042594,response to starvation,0.0767352311978883
944,-1866,0.00456438842754468,3,27,GO:0009311,oligosaccharide metabolic process,0.030459826722559
946,-2758,0.0223891043327792,2,8,GO:0009313,oligosaccharide catabolic process,0.0969604183459376
951,-2521,0.000540068490618353,2,22,GO:0009405,pathogenesis,0.00549150723493617
954,1624,0.00385906535828319,2,37,GO:0009409,response to cold,0.0268864100887796
966,1804,4.51703064095032e-12,3,174,GO:0009581;GO:0009582;GO:0051606,detection of stimulus,4.02491203954152e-10
968,1608,0.0020515604139899,2,43,GO:0009593,detection of chemical stimulus,0.0161950067194814
970,586,1.39365484139376e-05,2,680,GO:0009605,response to external stimulus,0.000257864223658977
973,1997,7.09739551019834e-12,2,139,GO:0009612,response to mechanical stimulus,6.0079452993829e-10
977,775,1.3241869270847e-07,2,567,GO:0009628,response to abiotic stimulus,4.43930389614732e-06
985,833,3.4072514513971e-11,2,791,GO:0009653,anatomical structure morphogenesis,2.45467093924055e-09
988,343,0.0164529763289034,2,600,GO:0009719,response to endogenous stimulus,0.0767352311978883
997,1181,0.0192307864709906,2,46,GO:0009791,post-embryonic development,0.0871059564532213
1005,1179,5.2648317661105e-08,2,254,GO:0009887,organ morphogenesis,1.94425998051119e-06
1006,1071,4.48828003599126e-07,2,265,GO:0009888,tissue development,1.32150575668404e-05
1007,517,0.000465290916911194,2,562,GO:0009890;GO:0010558;GO:0010629;GO:0031327;GO:2000113,negative regulation of biosynthetic process,0.00493521082070823
1008,650,2.12562093059524e-06,3,656,GO:0009891;GO:0010557;GO:0010628;GO:0031328;GO:0045893;GO:1902680;GO:0051254;GO:0045935;GO:0051173,positive regulation of biosynthetic process,5.2921709345555e-05
1009,436,0.000692648348882681,2,752,GO:0009892;GO:0010605;GO:0031324,negative regulation of metabolic process,0.00683763063940746
1010,600,6.40084656375905e-08,2,1039,GO:0009893;GO:0010604;GO:0031325,positive regulation of metabolic process,2.33045875966539e-06
1014,1335,0.0124213101754599,5,41,GO:0009913,epidermal cell differentiation,0.0629619105600407
1015,1851,0.00940508255817977,2,23,GO:0009914,hormone transport,0.0522059172819618
1019,1257,0.000776414138321083,4,84,GO:0009952,anterior/posterior pattern specification,0.00746857463737269
1020,1459,0.00156383939215407,4,55,GO:0009953,dorsal/ventral pattern formation,0.0132559458968595
1022,980,5.88465408149085e-21,3,1191,GO:0009966;GO:0010646;GO:0023051,regulation of cell communication,2.490679839991e-18
1023,657,3.42893417836186e-05,3,483,GO:0009968;GO:0010648;GO:0023057;GO:0048585,negative regulation of response to stimulus,0.000569135839604572
1027,347,0.000699412820215757,2,1247,GO:0010033;GO:0042221,response to chemical,0.00686438205579871
1036,-1020,0.0126766460597551,4,70,GO:0010212,response to ionizing radiation,0.0639688875683022
1044,-1914,0.0122351214140259,2,20,GO:0010332,response to gamma radiation,0.0622979264780326
1052,3937,0.000132164091160985,3,11,GO:0010460,positive regulation of heart rate,0.00181177171121901
1054,-1135,0.000146705383296859,3,132,GO:0010467,gene expression,0.00194801736409084
1056,2611,0.00424355803160163,3,14,GO:0010470,regulation of gastrulation,0.0287068360999664
1057,-1600,5.72650146043828e-07,5,115,GO:0010498;GO:0043161,proteasomal protein catabolic process,1.62033684896222e-05
1065,-759,0.00106327621760847,5,221,GO:0010564,regulation of cell cycle process,0.00965215354644043
1073,-506,0.0153627293463382,2,274,GO:0010608,posttranscriptional regulation of gene expression,0.0732650726291565
1089,2801,0.0138766321506723,2,9,GO:0010715,regulation of extracellular matrix disassembly,0.0683934155199074
1091,-2607,0.0002544884096374,3,23,GO:0010718;GO:0010770,positive regulation of cell morphogenesis involved in differentiation,0.00300243120220291
1094,1024,0.0123483193558648,3,70,GO:0010721;GO:0050768,negative regulation of cell development,0.0626857711228759
1118,-2395,0.0151508475437479,2,12,GO:0010833,telomere maintenance via telomere lengthening,0.0727670493377736
1122,2915,0.000294973415322095,5,18,GO:0010863;GO:1900274,positive regulation of phospholipase C activity,0.00339721083088644
1140,598,3.71917961272268e-05,2,583,GO:0010941;GO:0042981;GO:0043067,regulation of cell death,0.000611317581003835
1147,1156,0.00346996883746345,2,75,GO:0010959,regulation of metal ion transport,0.0245288402581446
1151,2537,2.01512890909934e-05,2,33,GO:0010976,positive regulation of neuron projection development,0.00034990905057489
1159,2722,0.0117366783617208,2,10,GO:0014029,neural crest formation,0.060672355622575
1163,3530,0.0208283198726124,3,5,GO:0014044,Schwann cell development,0.0926737070810323
1165,3564,0.00174552180897529,2,9,GO:0014056,regulation of acetylcholine secretion, neurotransmission,0.0143454777795882
1173,1553,0.000228742624927687,4,66,GO:0014706;GO:0060537,muscle tissue development,0.00275307560330572
1180,1413,3.93923860514105e-14,5,344,GO:0015074,DNA integration,4.94009700629911e-12
1182,672,0.000857136840964757,3,294,GO:0015672,monovalent inorganic cation transport,0.008084304578013
1188,1116,0.00601917196181552,3,71,GO:0015698,inorganic anion transport,0.0379532891298088
1209,-1028,0.00113966531975094,2,118,GO:0015931;GO:0050657;GO:0050658;GO:0051236;GO:0051028,nucleobase-containing compound transport,0.0102630499273316
1215,-4630,6.95718142402638e-06,5,11,GO:0015985;GO:0015986,ATP synthesis coupled proton transport,0.000145413680875021
1216,-3398,0.00011738505858695,7,15,GO:0015988;GO:0015991,ATP hydrolysis coupled proton transport,0.00165610753489755
1218,-1258,1.10777384355715e-05,3,144,GO:0016042,lipid catabolic process,0.000212397614325378
1220,1402,0.00198866055457349,2,57,GO:0016049,cell growth,0.0158437756183196
1222,-1151,0.00715170919605956,2,64,GO:0016051,carbohydrate biosynthetic process,0.0429356158472654
1223,-1812,1.44781395434974e-07,3,99,GO:0016052,carbohydrate catabolic process,4.80617455826296e-06
1224,1169,7.34015806601013e-06,2,174,GO:0016055,Wnt signaling pathway,0.000151547409826282
1234,1716,0.00039141303295574,3,50,GO:0016202;GO:0048634;GO:1901861,regulation of muscle organ development,0.00427524041802624
1240,754,1.53427960259112e-08,2,697,GO:0016310;GO:0006468,phosphorylation,6.49383841796692e-07
1245,3819,0.000107621940580651,2,12,GO:0016339,calcium-dependent cell-cell adhesion,0.00155729867865848
1251,652,0.000801244636404712,2,317,GO:0016477;GO:0048870,cell motility,0.00768559302795001
1254,2112,0.00200106407490362,2,25,GO:0016525,negative regulation of angiogenesis,0.0158858611674706
1258,392,0.00507478259460331,8,630,GO:0016567;GO:0032446;GO:0070647,protein modification by small protein conjugation or removal,0.032918034224764
1285,1752,8.80180422375297e-11,2,162,GO:0018108;GO:0018212,peptidyl-tyrosine phosphorylation,5.73132867338991e-09
1290,-2792,9.66551496334842e-07,2,36,GO:0018196;GO:0018279,peptidyl-asparagine modification,2.59741537030935e-05
1295,-3296,1.09182004528092e-09,4,40,GO:0018208,peptidyl-proline modification,6.16150445553532e-08
1311,-1878,0.00839126069804758,4,23,GO:0019217,regulation of fatty acid metabolic process,0.0475161358915563
1313,955,5.08556861722918e-16,2,911,GO:0019220;GO:0051174,regulation of phosphorus metabolic process,9.06301859891474e-14
1317,2919,0.00307143956122119,2,12,GO:0019228,neuronal action potential,0.0224545854345789
1318,1656,0.00116461825995296,5,45,GO:0019229,regulation of vasoconstriction,0.0104322683285733
1322,-3135,2.91730370715804e-06,2,26,GO:0019320;GO:0046365,monosaccharide catabolic process,6.95633123411065e-05
1323,-4090,7.48990950996206e-06,2,14,GO:0019321,pentose metabolic process,0.000153702021822615
1330,-1976,0.000216746149590349,2,41,GO:0019395;GO:0034440,fatty acid oxidation,0.00265215571769156
1338,-3275,0.0111823173441651,3,7,GO:0019530,taurine metabolic process,0.0583410270066919
1341,-619,2.0464153756652e-08,2,1051,GO:0019637;GO:1901135,organophosphate metabolic process,8.45019812439313e-07
1342,-2934,0.0230551980935245,2,7,GO:0019673,GDP-mannose metabolic process,0.0988163300565493
1343,-3801,0.00043363227709929,2,10,GO:0019674,NAD metabolic process,0.00465297851409533
1355,1777,0.000239692195341515,4,50,GO:0019932,second-messenger-mediated signaling,0.00284771148570656
1356,2615,0.00220651205177842,2,16,GO:0019933;GO:0019935,cyclic-nucleotide-mediated signaling,0.0172490554157026
1357,3885,0.0109626573597266,2,5,GO:0019934,cGMP-mediated signaling,0.0574606158204865
1358,-3755,0.00708419411574533,2,6,GO:0019953,sexual reproduction,0.0427577206344273
1362,2177,0.00687947538826857,2,18,GO:0021515,cell differentiation in spinal cord,0.0419709975940133
1371,2330,0.0181595561947123,4,12,GO:0021604;GO:0048532,anatomical structure arrangement,0.083657492891559
1373,4348,0.00181615706892751,2,6,GO:0021633,optic nerve structural organization,0.014818091169611
1384,3167,0.0141664991383363,2,7,GO:0021794,thalamus development,0.069417895922441
1396,1825,0.0018617618131185,6,34,GO:0021953,central nervous system neuron differentiation,0.0150811614813857
1397,1972,0.0118741848173946,2,19,GO:0021954,central nervous system neuron development,0.0611631407541578
1403,3764,0.00355193387898522,3,7,GO:0022011;GO:0032292,peripheral nervous system axon ensheathment,0.0250559335713416
1405,2727,0.00810207990165154,2,11,GO:0022038,corpus callosum development,0.04649769923219
1407,-3007,0.0127578557155994,4,8,GO:0022403,cell cycle phase,0.0641873691723916
1409,1442,0.00846407936746367,5,39,GO:0022407,regulation of cell-cell adhesion,0.0478453635028915
1413,-804,0.00712855522289028,3,132,GO:0022411,cellular component disassembly,0.0428726251948605
1417,805,4.41337371144266e-06,2,392,GO:0022603,regulation of anatomical structure morphogenesis,9.96245559129657e-05
1418,578,0.0142920609090906,3,213,GO:0022604,regulation of cell morphogenesis,0.0697665244752965
1421,-866,0.0212323247301588,3,83,GO:0022613;GO:0042254,ribonucleoprotein complex biogenesis,0.0939977113178148
1422,-2767,0.0024438369519537,5,14,GO:0022616,DNA strand elongation,0.0187637912002613
1424,-1043,0.00301239164434625,3,95,GO:0022618;GO:0071826,ribonucleoprotein complex subunit organization,0.0221738219733835
1425,1324,0.0219421326411129,4,35,GO:0022898;GO:0032409;GO:0032412,regulation of transporter activity,0.0956191262841805
1426,-2846,4.5277415961482e-05,3,24,GO:0022900;GO:0022904,electron transport chain,0.000719762114767972
1430,1495,1.67239425003725e-19,2,442,GO:0030001,metal ion transport,5.66272693062613e-17
1434,962,0.00029877409069658,2,167,GO:0030029;GO:0030036,actin filament-based process,0.00342931888508007
1435,403,0.0139543191228851,2,452,GO:0030030,cell projection organization,0.06857666843264
1443,-3170,0.000516234071147493,2,14,GO:0030071;GO:1902099,regulation of mitotic metaphase/anaphase transition,0.00532176790106908
1448,1255,0.00705346218166934,4,54,GO:0030099,myeloid cell differentiation,0.0426482552627364
1451,1244,3.61034797539661e-05,2,130,GO:0030111,regulation of Wnt signaling pathway,0.000596323816814289
1453,790,2.94471415145345e-11,2,894,GO:0030154,cell differentiation,2.16756567756987e-09
1454,670,0.0169016700404844,4,150,GO:0030155,regulation of cell adhesion,0.0786113389520332
1456,-1446,1.04204601347364e-07,4,160,GO:0030163,protein catabolic process,3.62695045353083e-06
1458,-4509,0.000477593866927458,5,7,GO:0030174,regulation of DNA-dependent DNA replication initiation,0.00500660319943149
1459,1569,0.00524780629988386,2,37,GO:0030177,positive regulation of Wnt signaling pathway,0.03384585167887
1460,983,0.00743579521591393,2,87,GO:0030178;GO:0090090,negative regulation of Wnt signaling pathway,0.0442488622163173
1461,1334,8.04684359965793e-06,4,132,GO:0030182,neuron differentiation,0.000162182216835963
1465,-2778,0.000137290436872177,2,22,GO:0030195;GO:0050819;GO:1900047;GO:0042730,negative regulation of coagulation,0.00185946167699677
1481,-1048,0.00456987358979917,4,86,GO:0030258,lipid modification,0.030459826722559
1483,920,0.0133378003632334,2,85,GO:0030278,regulation of ossification,0.0664144000439828
1487,1359,0.00210871149574028,3,60,GO:0030308,negative regulation of cell growth,0.016604877033899
1491,2452,0.000581418591440572,2,23,GO:0030323,respiratory tube development,0.00584179035791625
1492,1211,0.00656864749735873,2,59,GO:0030324,lung development,0.0405126419418154
1494,1005,0.0229966520324806,5,60,GO:0030326;GO:0035108;GO:0035113,limb morphogenesis,0.0986903216501639
1496,745,0.000525686022987584,5,258,GO:0030334;GO:2000145;GO:0040012;GO:0051270,regulation of locomotion,0.0053775615523745
1498,1417,0.00495937819066984,2,46,GO:0030336;GO:2000146;GO:0051271,negative regulation of cellular component movement,0.0323554037641774
1501,-2285,0.00105383445803074,4,24,GO:0030433,ER-associated ubiquitin-dependent protein catabolic process,0.0096072076263364
1509,1718,0.0119806437107921,6,25,GO:0030509,BMP signaling pathway,0.061371345846811
1512,-1521,0.010602460618738,3,33,GO:0030512;GO:0090288,negative regulation of cellular response to growth factor stimulus,0.056269485352738
1520,1355,0.00217310686631582,2,60,GO:0030534,adult behavior,0.0170722502304997
1527,2601,5.73534576406431e-17,2,122,GO:0030799;GO:0030814,regulation of cyclic nucleotide metabolic process,1.40118541151454e-14
1528,2409,1.78002058940442e-06,5,46,GO:0030801;GO:0045981;GO:0030804;GO:0030810;GO:0030816;GO:1900544;GO:0030819;GO:1900373,positive regulation of nucleotide metabolic process,4.53169151558148e-05
1529,2450,4.25307770898515e-12,2,94,GO:0030802;GO:0030808;GO:0030817;GO:1900371,regulation of nucleotide biosynthetic process,3.89214084395236e-10
1530,2941,5.42822990756355e-05,2,22,GO:0030818;GO:0030803;GO:0030815;GO:1900372;GO:0030800;GO:0030809,negative regulation of cAMP metabolic process,0.000835453930318644
1531,2791,0.00976119910768156,3,10,GO:0030823;GO:0030826,regulation of cGMP metabolic process,0.0533944776537074
1535,889,0.00635491135610363,3,111,GO:0030855,epithelial cell differentiation,0.0395546504628068
1544,1433,0.00805210451216932,2,40,GO:0030900,forebrain development,0.0464470628248813
1545,1674,0.0109161474491785,3,27,GO:0030901,midbrain development,0.0573851989860117
1556,1410,0.0216768668520767,3,31,GO:0031032,actomyosin structure organization,0.0948292909058549
1559,-3600,0.00982662365492213,3,6,GO:0031055,chromatin remodeling at centromere,0.0535796259187864
1560,1330,0.00836267567998267,4,46,GO:0031056;GO:1902275,regulation of chromatin organization,0.0475161358915563
1561,2100,0.0112913885576949,4,17,GO:0031057,negative regulation of histone modification,0.0587290962463209
1564,3415,0.0143255305539611,2,6,GO:0031061,negative regulation of histone methylation,0.0697665244752965
1583,2644,0.00141908179071101,5,17,GO:0031128;GO:0001759;GO:0003156,developmental induction,0.0122576809779272
1584,-4178,2.13112878782393e-07,7,18,GO:0031145,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process,6.85826206544103e-06
1599,900,0.000234475646494385,4,198,GO:0031344;GO:0010975,regulation of cell projection organization,0.00279554415151404
1601,1143,0.00085346045783679,2,100,GO:0031346,positive regulation of cell projection organization,0.008084304578013
1607,-1284,0.00395899770209539,8,59,GO:0031398,positive regulation of protein ubiquitination,0.027413427851319
1608,831,1.27476721690786e-09,3,658,GO:0031399;GO:0001932;GO:0042325,regulation of phosphorylation,7.07600294500002e-08
1609,997,0.000520675300687658,2,143,GO:0031400,negative regulation of protein modification process,0.00534244414584367
1610,647,0.000130909328575027,7,422,GO:0031401;GO:0032270;GO:0051247,positive regulation of protein metabolic process,0.00180186579900423
1625,-4479,0.00336285426915302,2,5,GO:0031639,plasminogen activation,0.0240732020197719
1637,-981,0.0189722209724446,4,67,GO:0031669;GO:0031668,cellular response to extracellular stimulus,0.0864673790872681
1643,-3313,0.0102660619533965,4,7,GO:0031998,regulation of fatty acid beta-oxidation,0.054914511491628
1653,1175,0.00839180427145619,5,59,GO:0032092;GO:0051099,positive regulation of binding,0.0475161358915563
1659,1104,0.0132286442425355,5,59,GO:0032103,positive regulation of response to external stimulus,0.0660651761139015
1661,1274,3.845884151301e-05,6,123,GO:0032147,activation of protein kinase activity,0.000626065564245442
1674,-780,0.000200511804272476,2,271,GO:0032259,methylation,0.0024778575520679
1675,430,0.000196962001264314,2,952,GO:0032268;GO:0051246,regulation of protein metabolic process,0.00245188726573885
1676,535,0.0143065504791142,2,250,GO:0032269;GO:0051248,negative regulation of protein metabolic process,0.0697665244752965
1683,860,0.00126901683815945,2,166,GO:0032318;GO:0032320,regulation of Ras GTPase activity,0.01116075588054
1684,1367,0.00035884404421396,2,80,GO:0032319;GO:0032321,regulation of Rho GTPase activity,0.00399686162404102
1694,879,0.00304710585445634,2,134,GO:0032386,regulation of intracellular transport,0.0223806950611479
1700,1881,0.0231926755487045,2,17,GO:0032414;GO:0032411,positive regulation of transporter activity,0.09902950745008
1729,4243,0.00546502277018665,3,5,GO:0032653,regulation of interleukin-10 production,0.0349802780715539
1732,2946,0.000563183161758482,3,16,GO:0032675,regulation of interleukin-6 production,0.00569235279317678
1734,2410,0.000112902040414834,5,30,GO:0032680;GO:0032720,regulation of tumor necrosis factor production,0.00159952430478924
1735,3080,0.00682650819543715,2,9,GO:0032691;GO:0032692,negative regulation of interleukin-1 production,0.0417230266240978
1736,3626,0.00929828871730188,3,6,GO:0032715,negative regulation of interleukin-6 production,0.0517778729460361
1746,-1342,1.55377602799711e-11,6,302,GO:0032787,monocarboxylic acid metabolic process,1.22350828623214e-09
1747,3997,0.00886067240028524,7,5,GO:0032793,positive regulation of CREB transcription factor activity,0.0498376025703751
1750,958,0.00253209972866975,3,117,GO:0032844,regulation of homeostatic process,0.0192235194647439
1757,1529,9.18073233606758e-06,2,99,GO:0032872;GO:0070302;GO:0046328,regulation of stress-activated protein kinase signaling cascade,0.000179687628265461
1759,2150,4.63440184735996e-05,3,42,GO:0032874;GO:0070304;GO:0046330,positive regulation of stress-activated protein kinase signaling cascade,0.000731652440656303
1761,801,8.48489059447679e-11,2,822,GO:0032879,regulation of localization,5.63330187311734e-09
1771,726,0.0010677313686983,3,242,GO:0032940;GO:0046903,secretion,0.00966668025243969
1778,666,0.000468030334990336,3,331,GO:0032989,cellular component morphogenesis,0.00493521082070823
1780,-1513,0.00989001074073872,2,34,GO:0033013,tetrapyrrole metabolic process,0.0536659877694572
1795,940,0.00970164363217126,3,89,GO:0033157,regulation of intracellular protein transport,0.0531549600947118
1796,3347,0.0163861872887703,2,6,GO:0033158,regulation of protein import into nucleus, translocation,0.0767352311978883
1799,2862,0.0178036226807095,4,8,GO:0033206,meiotic cytokinesis,0.0823539158427355
1806,3057,0.0113616507398469,6,8,GO:0033275,actin-myosin filament sliding,0.0589135519220852
1812,-1275,0.00184191631818401,2,70,GO:0033365,protein localization to organelle,0.0149561838210337
1816,-449,0.000414736854363684,3,772,GO:0033554,cellular response to stress,0.00449905671196543
1817,2469,1.47759381536292e-05,2,36,GO:0033555,multicellular organismal response to stress,0.000268985626818218
1829,-2237,0.0233016779584262,6,12,GO:0033690;GO:0043932;GO:0090177,positive regulation of osteoblast proliferation,0.0992446309021775
1837,2682,0.000623450694323731,4,19,GO:0034103,regulation of tissue remodeling,0.00622715059286181
1847,1435,1.30571596020014e-21,3,541,GO:0034220,ion transmembrane transport,1.10528856030942e-18
1851,-1808,0.00205187769718178,4,34,GO:0034308,primary alcohol metabolic process,0.0161950067194814
1866,-945,0.000196353683755762,6,184,GO:0034470,ncRNA processing,0.00245188726573885
1867,-5046,0.000952689238340505,2,5,GO:0034501,protein localization to kinetochore,0.00878966147417153
1868,-1920,0.0143406677598365,3,19,GO:0034502,protein localization to chromosome,0.0697665244752965
1877,-1081,5.28269102796898e-08,2,303,GO:0034622,cellular macromolecular complex assembly,1.94425998051119e-06
1879,235,0.0193218305758207,2,1300,GO:0034654;GO:0006351;GO:0032774,nucleobase-containing compound biosynthetic process,0.0871154704789998
1880,-376,0.00495850252019167,3,692,GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361,organic cyclic compound catabolic process,0.0323554037641774
1881,-1058,2.14700466313275e-07,2,287,GO:0034660,ncRNA metabolic process,6.85826206544103e-06
1884,-1333,0.000637638331338624,3,77,GO:0034728;GO:0071824,protein-DNA complex subunit organization,0.00635012761738994
1885,-1726,0.000361983267895945,2,50,GO:0034754,cellular hormone metabolic process,0.00401847641940552
1887,2168,1.69675092226166e-16,4,171,GO:0034762;GO:0034765,regulation of transmembrane transport,3.40005516854243e-14
1896,2502,4.03946554900193e-07,7,48,GO:0035023,regulation of Rho protein signal transduction,1.2104097653912e-05
1897,3811,0.00315181133778257,2,7,GO:0035024,negative regulation of Rho protein signal transduction,0.0229013587762485
1898,2929,0.00445126187748864,3,11,GO:0035050,embryonic heart tube development,0.0299413878739005
1905,2424,4.64575530836105e-05,2,33,GO:0035094,response to nicotine,0.000731652440656303
1906,4133,0.000620194989246823,3,8,GO:0035095,behavioral response to nicotine,0.00621295927097557
1909,3530,0.00346641190300256,2,8,GO:0035115;GO:0035136,forelimb morphogenesis,0.0245288402581446
1910,3337,0.00337666774875496,2,9,GO:0035116;GO:0035137,hindlimb morphogenesis,0.0241210907115702
1919,1349,0.000221646027133007,2,88,GO:0035239;GO:0060562,tube morphogenesis,0.00269936273935997
1924,1708,1.57834333642144e-05,2,75,GO:0035295,tube development,0.000285789868295347
1928,1401,0.000434241349809251,2,74,GO:0035335,peptidyl-tyrosine dephosphorylation,0.00465297851409533
1931,3930,0.00481856721461751,2,6,GO:0035412;GO:0035413,regulation of catenin import into nucleus,0.0317425458924025
1937,692,4.52789536481966e-07,3,657,GO:0035556,intracellular signal transduction,1.32167704355857e-05
1946,1682,7.45903716002939e-05,3,65,GO:0035725,sodium ion transmembrane transport,0.00111261232704227
1951,3455,0.0132232498405673,2,6,GO:0035809;GO:0035810,regulation of urine volume,0.0660651761139015
1952,-1137,0.0083708144403836,2,63,GO:0035821,modification of morphology or physiology of other organism,0.0475161358915563
1961,2509,0.0201705972415364,2,10,GO:0035994,response to muscle stretch,0.0905804274003213
1972,2198,0.010075188528319,2,16,GO:0036342,post-anal tail morphogenesis,0.0541501402490288
1978,3289,0.018339217427316,3,6,GO:0038180,nerve growth factor signaling pathway,0.0842558890215631
1979,666,0.00832848240895083,1,186,GO:0040007,growth,0.047475153933851
1982,716,3.78699493147392e-05,1,399,GO:0040011,locomotion,0.000619457238549309
1983,1546,0.000469326014255183,2,60,GO:0040013,negative regulation of locomotion,0.00493521082070823
1991,4180,0.00271686114470603,5,6,GO:0040038;GO:0051295,polar body extrusion after meiotic divisions,0.0203975428735579
1994,3142,0.0092760514936912,3,8,GO:0042036,negative regulation of cytokine biosynthetic process,0.0517441686287288
2002,3908,0.00506841086303718,3,6,GO:0042088,T-helper 1 type immune response,0.032918034224764
2011,611,4.73194834718406e-05,2,541,GO:0042127,regulation of cell proliferation,0.000738358391869365
2016,-3323,0.00125441628678618,6,11,GO:0042149,cellular response to glucose starvation,0.0110899570419269
2020,-1550,0.00822650756649528,2,34,GO:0042180,cellular ketone metabolic process,0.0470522882097179
2031,1247,0.00140235095918256,3,77,GO:0042306;GO:0046822;GO:1900180,regulation of nucleocytoplasmic transport,0.0121441441120004
2036,2622,0.000171534799480184,5,24,GO:0042312,regulation of vasodilation,0.00220159919354759
2037,1134,0.000417219080790651,2,114,GO:0042326;GO:0001933,negative regulation of phosphorylation,0.00449905671196543
2038,1154,6.59993121433371e-11,4,386,GO:0042327;GO:0045937;GO:0010562,positive regulation of phosphorus metabolic process,4.46947341834679e-09
2041,2654,0.00188751657160242,5,16,GO:0042345,regulation of NF-kappaB import into nucleus,0.0152532962087012
2047,2032,3.05086432350316e-10,2,113,GO:0042391,regulation of membrane potential,1.84468332131816e-08
2048,-2055,7.00327371773189e-06,2,56,GO:0042398,cellular modified amino acid biosynthetic process,0.000145479047903314
2058,2304,6.21186394729033e-06,4,45,GO:0042472,inner ear morphogenesis,0.00013482930336875
2059,2481,0.0216223545612462,4,10,GO:0042473,outer ear morphogenesis,0.0948292909058549
2064,1510,0.0216690660488785,2,27,GO:0042490;GO:0060113,mechanoreceptor differentiation,0.0948292909058549
2069,-2182,0.00675187629065117,2,18,GO:0042537,benzene-containing compound metabolic process,0.0414164005799726
2071,1361,0.00246460682409551,4,58,GO:0042542,response to hydrogen peroxide,0.0187954024918635
2073,-3079,0.00279576633485819,3,11,GO:0042559,pteridine-containing compound biosynthetic process,0.020851244074515
